"PARENT COMPANY","year","GHG"
"ADS WASTE HOLDINGS INC","2011",80350
"ADS WASTE HOLDINGS INC","2012",475782
"ADS WASTE HOLDINGS INC","2015",2488582
"ADS WASTE HOLDINGS INC","2016",2512068
"ADS WASTE HOLDINGS INC","2017",1097491
"ADS WASTE HOLDINGS INC","2018",1115388
"ADS Waste Holdings, Inc","2014",1301852
"ADS Waste Holdings, Inc.","2012",66617
"ADS Waste Holdings, Inc.","2013",28954
"ADS Waste Holdings, Inc.","2014",13047
"ADVANCE ENERGY PARTNERS LLC","2021",103285
"ADVANCE ENERGY PARTNERS LLC","2022",148987
"ADVANCED BIOENERGY LLC","2011",300711
"ADVANCED BIOENERGY LLC","2012",11379
"ADVANCED BIOENERGY LLC","2013",122782
"ADVANCED BIOENERGY LLC","2014",430866
"ADVANCED BIOENERGY LLC","2015",133651
"ADVANCED BIOENERGY LLC","2016",119615
"ADVANCED BIOENERGY LLC","2017",111126
"ADVANCED BIOENERGY LLC","2018",112371
"ADVANCED BIOENERGY LLC","2019",106682
"ADVANCED BIOENERGY LLC","2020",125748
"ADVANCED DISPOSAL SERVICES","2010",192395
"ADVANCED DISPOSAL SERVICES","2011",858016
"ADVANCED DISPOSAL SERVICES","2012",887324
"ADVANCED DISPOSAL SERVICES","2013",2705710
"ADVANCED DISPOSAL SERVICES","2014",882443
"ADVANCED DISPOSAL SERVICES INC","2017",1335804
"ADVANCED DISPOSAL SERVICES INC","2018",1945129
"ADVANCED DISPOSAL SERVICES INC","2019",3448272
"ADVANCED GRAPHITE MATERIALS LLC","2018",3252
"ADVANSIX INC","2016",1017233
"ADVANSIX INC","2017",1251333
"ADVANSIX INC","2018",1678725
"ADVANSIX INC","2019",1625453
"ADVANSIX INC","2020",1403860
"ADVANSIX INC","2021",1431093
"ADVANSIX INC","2022",1381436
"AEIF BIRDSBORO LLC","2020",435486.7803
"AEIF BIRDSBORO LLC","2022",348696.7935
"AEIF Birdsboro LLC","2021",417077.6214
"AEIF HILL TOP LLC","2022",621544.2394
"AEIF Hill Top, LLC","2021",314359.554537
"AEIF LINDEN SPV LLC","2016",1187374
"AEIF LINDEN SPV LLC","2017",1250332.5
"AEIF LINDEN SPV LLC","2018",388450.3
"AEIF Linden SPV LLC","2015",1139507.5
"AEIF ST JOSEPH HOLDING V LLC","2018",1140584.8
"AEIF ST JOSEPH HOLDING V LLC","2019",1632480.8
"AEIF ST JOSEPH HOLDING V LLC","2020",1380672.8
"AEMETIS INC","2016",69849
"AEMETIS INC","2017",74974
"AEMETIS INC","2018",78203
"AEMETIS INC","2019",75887
"AEMETIS INC","2020",75134
"AEMETIS INC","2021",74282
"AEMETIS INC","2022",69710
"AEP GENERATION RESOURCES INC","2014",1728410.161
"AEP GENERATION RESOURCES INC","2015",1358390.222
"AEP GENERATION RESOURCES INC","2016",1222883.762
"AEP GENERATION RESOURCES INC","2018",532035.92
"AER NY-Gen, LLC","2010",1521
"AER NY-Gen, LLC","2011",1554
"AER NY-Gen, LLC","2012",1118
"AER NY-Gen, LLC","2013",1885
"AERA ENERGY LLC","2011",429259.5
"AERA ENERGY LLC","2012",426549
"AES CORP","2011",7313957
"AES CORP","2012",5512150
"AES CORP","2013",5309360
"AES CORP","2014",11531207.82
"AES CORP","2015",28744261.91
"AES CORP","2016",27788460.11
"AES CORP","2017",24767688.15
"AES CORP","2018",21093084.06
"AES CORP","2019",19586034.5
"AES CORP","2020",16746029
"AES CORP","2021",19500128
"AES CORP","2022",19517551
"AES Corporation","2010",14710573
"AES Corporation","2011",1487365
"AES Corporation","2012",1408065
"AES Corporation","2013",1482156
"AES Corporation","2014",1367443
"AES Eastern Energy LP","2010",1728255
"AES Eastern Energy LP","2011",103846
"AES Eastern Energy, LP","2010",588360
"AES Eastern Energy, LP","2011",1142700
"AES Eastern Energy,LP","2010",269956
"AES Ohio Generation, LLC","2018",716202.2
"AETHON ENERGY","2015",53018
"AETHON ENERGY","2016",505788
"AETHON ENERGY","2017",443414
"AETHON ENERGY","2018",443219
"AETHON ENERGY OPERATING LLC","2019",568291
"AETHON UNITED BR LP","2020",535355
"AETHON UNITED BR LP","2021",621634
"AETHON UNITED BR LP","2022",858762
"AG ENERGY LP","2015",9454
"AG ENERGY LP","2016",8417
"AG ENERGY LP","2017",8104
"AG ENERGY LP","2018",8596
"AG ENERGY PARTNERS LP","2019",8453
"AG ENERGY PARTNERS LP","2020",7330
"AG ENERGY PARTNERS LP","2021",6779
"AG ENERGY PARTNERS LP","2022",6188
"AG Energy, LP","2010",9712
"AG Energy, LP","2011",10525
"AG Energy, LP","2012",9060
"AG Energy, LP","2013",9405
"AG Energy, LP","2014",9324
"AG PROCESSING INC","2011",473388
"AG PROCESSING INC","2012",487717
"AG PROCESSING INC","2013",407215
"AG PROCESSING INC","2014",336534
"AG PROCESSING INC","2015",375422
"AG PROCESSING INC","2016",428085
"AG PROCESSING INC","2017",480109
"AG PROCESSING INC","2018",506166
"AG PROCESSING INC","2019",484959
"AG PROCESSING INC A COOPERATIVE","2020",489536
"AG PROCESSING INC A COOPERATIVE","2021",493518
"AG PROCESSING INC A COOPERATIVE","2022",481933
"AGAVE ENERGY HOLDINGS","2016",83899
"AGC","2010",45429
"AGC AMERICA INC","2015",229821.6
"AGC AMERICA INC","2016",223458.8
"AGC AMERICA INC","2017",235178.6
"AGC AMERICA INC","2018",237273.2
"AGC AMERICA INC","2019",243886.4
"AGC AMERICA INC","2020",509559
"AGC AMERICA INC","2021",299735.6
"AGC AMERICA INC","2022",97673
"AGC America Inc.","2011",211615.4
"AGC America Inc.","2012",217411.2
"AGC America Inc.","2013",220994.2
"AGC America Inc.","2014",226656.6
"AGC FLAT GLASS NORTH AMERICA","2011",145771
"AGC FLAT GLASS NORTH AMERICA","2012",132033
"AGC FLAT GLASS NORTH AMERICA","2013",90721
"AGC FLAT GLASS NORTH AMERICA","2014",69030
"AGC FLAT GLASS NORTH AMERICA INC","2019",329698
"AGC FLAT GLASS NORTH AMERICA, INC.","2011",95890
"AGC FLAT GLASS NORTH AMERICA, INC.","2012",96834
"AGC FLAT GLASS NORTH AMERICA, INC.","2013",100289
"AGC FLAT GLASS NORTH AMERICA, INC.","2014",98878
"AGC Flat Glass North America, Inc.","2010",100283
"AGC GLASS CO NORTH AMERICA","2015",361286
"AGC GLASS CO NORTH AMERICA","2016",406098
"AGC GLASS CO NORTH AMERICA","2017",427773
"AGC GLASS CO NORTH AMERICA","2018",305097
"AGC Glass Company North America","2010",29466
"AGL RESOURCES INC","2011",714171
"AGL RESOURCES INC","2012",658167
"AGL RESOURCES INC","2013",624250
"AGL RESOURCES INC","2014",611141
"AGL RESOURCES INC","2015",579514
"AGL RESOURCES INC","2016",227860
"AGRA MARKE QUALITY GRAINS INC","2015",40716.36
"AGRA MARKE QUALITY GRAINS INC","2016",39621.39
"AGRA MARKE QUALITY GRAINS INC","2017",40041.63
"AGRA MARKE QUALITY GRAINS INC","2018",40422.6
"AGRA MARKE QUALITY GRAINS INC","2019",34142.46
"AGRA MARKE QUALITY GRAINS INC","2020",37898.61
"AGRA MARKE QUALITY GRAINS INC","2021",39865.68
"AGRA MARKE QUALITY GRAINS INC","2022",38073.54
"AGRI-MARK INC","2015",17786
"AGRI-MARK INC","2016",19378
"AGRI-MARK INC","2017",20719
"AGRI-MARK INC","2018",22754
"AGRI-MARK INC","2019",21685
"AGRIUM US INC","2011",270764
"AGRIUM US INC","2012",1295390
"AGRIUM US INC","2013",1193985
"AGRIUM US INC","2014",1088164
"AGRIUM US INC","2015",1122094
"AGRIUM US INC","2016",1047904
"AGRIUM US INC","2017",1104319
"AGRIUM US INC","2018",1352528
"AGRIUM US INC","2019",1047756
"AGRIUM US INC","2020",1100735
"AGRIUM US INC","2021",917405
"AGRIUM US INC","2022",1169578
"AGROPUR INC","2017",56451
"AGROPUR INC","2018",57342
"AGROPUR INC","2019",90073
"AGROPUR INC","2020",101132
"AGROPUR INC","2021",105581
"AGROPUR INC","2022",109476
"AGY HOLDING CO","2011",13859
"AGY HOLDING CO","2012",12802
"AGY HOLDING CO","2013",11912
"AGY HOLDING CO","2014",8486
"AGY HOLDING CORP","2010",12833
"AHLSTROM FILTRATION LLC","2015",19066
"AHLSTROM FILTRATION LLC","2016",17455
"AHLSTROM FILTRATION LLC","2017",16543
"AHLSTROM FILTRATION LLC","2018",17028
"AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2019",764284
"AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2020",424677
"AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2021",850093
"AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2022",765176
"AHLSTROM-MUNKSJO USA INC","2020",358854
"AIM Developement USA LLC","2015",115943
"AIM Developement USA LLC","2016",77620
"AIM Developement USA LLC","2017",70988
"AIM Development USA LLC","2018",71278
"AIM Development USA LLC","2019",61792
"AIM Development USA LLC","2020",2941
"AIM Development USA LLC","2021",4197
"AIM Development USA LLC","2022",6817
"AIM Midstream Holdings, LLC","2010",36610.84
"AIP LLC","2021",180760
"AIP LLC","2022",179977
"AIR PRODUCTS & CHEMICALS INC","2011",7932934
"AIR PRODUCTS & CHEMICALS INC","2012",7845432
"AIR PRODUCTS & CHEMICALS INC","2013",8098553
"AIR PRODUCTS & CHEMICALS INC","2014",8859206
"AIR PRODUCTS & CHEMICALS INC","2015",12466575
"AIR PRODUCTS & CHEMICALS INC","2016",12310104
"AIR PRODUCTS & CHEMICALS INC","2017",12445640
"AIR PRODUCTS & CHEMICALS INC","2018",12523837
"AIR PRODUCTS & CHEMICALS INC","2019",12683849
"AIR PRODUCTS & CHEMICALS INC","2020",11606326
"AIR PRODUCTS & CHEMICALS INC","2021",12455743
"AIR PRODUCTS & CHEMICALS INC","2022",13342140
"AIRCRAFT SERVICES CORP - GENERAL","2015",54429
"AIRGAS INC","2018",3111
"AIRGAS INC","2019",3255
"AIRGAS INC","2020",4004
"AIRGAS INC","2021",3789
"AIRGAS INC","2022",2214
"AJINOMOTO ANIMAL NUTRITION NORTH AMERICA INC","2019",127170
"AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC","2021",113044
"AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC","2022",116860
"AJINOMOTO HEARTLAND INC","2015",116559
"AJINOMOTO HEARTLAND INC","2016",119426
"AJINOMOTO HEARTLAND INC","2017",140750
"AK STEEL CORP","2011",7295456
"AK STEEL CORP","2012",7086479
"AK STEEL CORP","2013",6606064
"AK STEEL CORP","2014",8530489.08
"AK STEEL CORP","2015",7864322.4
"AK STEEL CORP","2016",6773647.4
"AK STEEL CORP","2017",6370792.16
"AK STEEL CORP","2018",6518858.76
"AK STEEL HOLDING CORP","2019",6508748.6
"AK Steel Corporation","2010",7723313
"AK Steel Corporation","2011",514574
"AK Steel Corporation","2012",491447
"AK Steel Corporation","2013",499968
"AK Steel Corporation","2014",524590
"AKA ENERGY GROUP LLC","2015",221768
"AKA ENERGY GROUP LLC","2016",385443
"AKA ENERGY GROUP LLC","2017",254119
"AKA ENERGY GROUP LLC","2018",271443
"AKA ENERGY GROUP, LLC","2011",243101
"AKA ENERGY GROUP, LLC","2012",311731
"AKA ENERGY GROUP, LLC","2013",225819
"AKA ENERGY GROUP, LLC","2014",239921
"AKIN BEENE RESOURCES LLC","2016",49237
"AKIN BEENE RESOURCES LLC","2017",50124
"AKZO NOBEL CHEMICALS INC","2015",77551
"AKZO NOBEL CHEMICALS INC","2016",110605
"AKZO NOBEL CHEMICALS INC","2017",166978
"AKZO NOBEL CHEMICALS INC","2018",71212
"AKZO NOBEL INC","2020",42139
"AKZO NOBEL INC","2021",27953
"AL COGEN LLC","2015",191525.5
"AL COGEN LLC","2016",193612.5
"AL COGEN LLC","2017",208066
"AL COGEN LLC","2018",212428
"AL COGEN LLC","2019",208125.5
"AL COGEN LLC","2020",42772
"AL COGEN PARTNER, LLC","2014",188247.71
"AL COGEN, LLC","2014",3841.79
"AL SANDERSVILLE LLC","2015",4605
"AL SANDERSVILLE LLC","2016",4392
"AL SANDERSVILLE LLC","2018",44153
"AL SANDERSVILLE LLC","2019",49762
"AL SANDERSVILLE LLC","2020",23939
"AL SANDERSVILLE LLC","2021",96515
"AL SANDERSVILLE LLC","2022",104385
"AL SANDERSVILLE, LLC","2011",8564
"AL SANDERSVILLE, LLC","2012",20800
"AL SANDERSVILLE, LLC","2013",2166
"AL SANDERSVILLE, LLC","2014",5634
"AL Sandersville, LLC","2010",32748
"AL TURI LANDFILL INC","2015",22487
"AL TURI LANDFILL INC","2016",41304
"AL TURI LANDFILL, INC","2011",16619
"AL TURI LANDFILL, INC","2012",20301
"AL TURI LANDFILL, INC","2013",29548
"AL TURI LANDFILL, INC","2014",21637
"AL-CORN CLEAN FUEL","2011",76105
"AL-CORN CLEAN FUEL","2012",74912
"AL-CORN CLEAN FUEL","2013",78377
"AL-CORN CLEAN FUEL","2014",75060
"AL-CORN CLEAN FUEL","2015",71172
"AL-CORN CLEAN FUEL","2016",78167
"AL-CORN CLEAN FUEL","2017",77046
"AL-CORN CLEAN FUEL","2018",139473
"AL-CORN CLEAN FUEL","2019",165458
"AL-CORN CLEAN FUEL","2020",162045
"AL-CORN CLEAN FUEL","2021",187877
"AL-CORN CLEAN FUEL","2022",203160
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2011",5047
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2012",4300
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2013",508
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2014",17008
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2015",39004
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2016",28254
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2017",14838
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2018",20672
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2019",28257
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2020",22422
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2021",27827
"ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2022",55059
"ALAMANCE COUNTY","2015",119232
"ALAMANCE COUNTY","2016",122303
"ALAMANCE COUNTY","2017",121429
"ALAMANCE COUNTY","2018",123568
"ALAMO CEMENT CO","2015",755595
"ALAMO CEMENT CO","2016",827666
"ALAMO CEMENT CO","2017",807287
"ALAMO CEMENT CO","2018",773418
"ALAMO CEMENT CO","2019",817273
"ALAMO CEMENT CO","2020",785478
"ALAMO CEMENT CO","2021",821901
"ALAMO CEMENT CO","2022",737492
"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2011",190497
"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2012",211841
"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2013",178656
"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2014",192999
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2016",30806
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2017",30858
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2018",30332
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2019",30660
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2020",62697
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2021",62108
"ALASKA VILLAGE ELECTRIC COOPERATIVE","2022",61229
"ALBANY GREEN ENERGY LLC","2017",4313
"ALBANY GREEN ENERGY LLC","2018",1603
"ALBANY GREEN ENERGY LLC","2019",6365
"ALBANY GREEN ENERGY LLC","2020",7735
"ALBANY GREEN ENERGY LLC","2021",9656
"ALBANY GREEN ENERGY LLC","2022",9765
"ALBEMARLE CORP","2011",140486
"ALBEMARLE CORP","2012",127441
"ALBEMARLE CORP","2013",132445
"ALBEMARLE CORP","2014",84675
"ALBEMARLE CORP","2015",261045
"ALBEMARLE CORP","2016",232909
"ALBEMARLE CORP","2017",237791
"ALBEMARLE CORP","2018",239551
"ALBEMARLE CORP","2019",242638
"ALBEMARLE CORP","2020",238652
"ALBEMARLE CORP","2021",230764
"ALBEMARLE CORP","2022",236979
"ALBERT EINSTEIN COLLEGE OF MEDICINE","2015",38757
"ALBERT EINSTEIN COLLEGE OF MEDICINE","2016",38218
"ALBERT EINSTEIN COLLEGE OF MEDICINE","2017",39028
"ALBERT EINSTEIN COLLEGE OF MEDICINE","2018",44983
"ALCAN PRIMARY PRODUCTS CORP","2011",623806
"ALCAN PRIMARY PRODUCTS CORP","2012",648216
"ALCOA CORP","2017",292536
"ALCOA CORP","2018",294014
"ALCOA CORP","2019",7165693
"ALCOA CORP","2020",7127478
"ALCOA CORP","2021",6358090
"ALCOA CORP","2022",6013951
"ALCOA INC","2011",10521772.8
"ALCOA INC","2012",10477641
"ALCOA INC","2013",10539366.4
"ALCOA INC","2014",10340156.8
"ALCOA INC","2015",10274259.6
"ALCOA INC","2016",6111473.6
"ALCOA INC","2017",4984694.4
"ALCOA INC","2018",7110334.6
"ALCON LABORATORIES INC","2015",33980
"ALCON LABORATORIES INC","2016",34735
"ALCON LABORATORIES INC","2017",33950
"ALCON LABORATORIES INC","2018",34130
"ALCON LABORATORIES INC","2019",30596
"ALCON LABORATORIES INC","2020",29741
"ALCON LABORATORIES INC","2021",31551
"ALCON LABORATORIES INC","2022",17599
"ALERIS CORP","2016",289467
"ALERIS CORP","2017",267815
"ALERIS CORP","2018",308877
"ALERIS CORP","2019",301491
"ALERIS INTERNATIONAL INC","2011",386203
"ALERIS INTERNATIONAL INC","2012",384010
"ALERIS INTERNATIONAL INC","2013",390328
"ALERIS INTERNATIONAL INC","2014",438186
"ALERIS INTERNATIONAL INC","2015",293890
"ALEXANDER & BALDWIN INC","2015",168178
"ALEXANDER & BALDWIN INC","2016",87643
"ALEXANDER & BALDWIN INC","2017",47931
"ALEXANDER & BALDWIN INC","2018",46984
"ALEXANDER & BALDWIN INC","2019",79260.2
"ALEXANDER & BALDWIN INC","2020",76420.1
"ALEXANDER & BALDWIN INC","2021",74248.6
"ALEXANDER & BALDWIN INC","2022",67331.4
"ALEXANDER & BALDWIN, INC","2011",179152
"ALEXANDER & BALDWIN, INC","2012",169181
"ALEXANDER & BALDWIN, INC","2013",192695
"ALEXANDER & BALDWIN, INC","2014",188545
"ALEXIN LLC","2015",26514
"ALEXIN LLC","2016",24212
"ALEXIN LLC","2017",26607
"ALEXIN LLC","2018",24961
"ALEXIN LLC","2019",25545
"ALEXIN LLC","2020",23882
"ALEXIN LLC","2021",23338
"ALEXIN LLC","2022",20598
