"","PARENT COMPANY","year","GHG"
"67","A TIMOSHENKO","2018",2042.25
"68","A TIMOSHENKO","2019",2975.25
"69","A TIMOSHENKO","2020",2485.5
"70","A TIMOSHENKO","2021",1795.5
"71","A TIMOSHENKO","2022",3557.25
"72","A Timoshenko","2015",1801.5
"73","ABB","2011",27107
"74","ABB","2012",114
"75","ABB","2013",70789
"76","ABB","2014",21637
"77","ABB LTD","2015",10898
"78","ABB LTD","2016",4551
"79","ABB LTD","2017",6496
"80","ABB LTD","2018",4469
"81","ABB LTD","2019",15043
"82","ABB LTD","2020",11024
"83","ABB LTD","2021",1049
"84","ABB LTD","2022",1596
"85","ABBOTT LABORATORIES","2011",241152
"86","ABBOTT LABORATORIES","2012",211857
"87","ABBOTT LABORATORIES","2013",145452
"88","ABBOTT LABORATORIES","2014",147317
"89","ABBOTT LABORATORIES","2015",137004
"90","ABBOTT LABORATORIES","2016",138160
"91","ABBOTT LABORATORIES","2017",117778
"92","ABBOTT LABORATORIES","2018",114188
"93","ABBOTT LABORATORIES","2019",113543
"94","ABBOTT LABORATORIES","2020",111891
"95","ABBOTT LABORATORIES","2021",135898
"96","ABBOTT LABORATORIES","2022",138440
"97","ABBVIE INC","2015",169719
"98","ABBVIE INC","2016",159492
"99","ABBVIE INC","2017",148979
"100","ABBVIE INC","2018",154504
"101","ABBVIE INC","2019",154326
"102","ABBVIE INC","2020",128416
"103","ABBVIE INC","2021",128081
"104","ABBVIE INC","2022",106307
"105","ABEL GREGORY E","2021",324.4
"106","ABENGOA BIOENERGY","2011",404624
"107","ABENGOA BIOENERGY","2012",385846
"108","ABENGOA BIOENERGY","2013",367227
"109","ABENGOA BIOENERGY","2014",396720
"110","ABENGOA BIOENERGY","2015",521647
"111","ABENGOA BIOENERGY US HOLDING","2011",12
"112","ABENGOA BIOENERGY US HOLDING","2014",7461
"113","ABF ENTERPRISES","2015",1582.32
"114","ABF ENTERPRISES","2016",1645.05
"115","ABF ENTERPRISES","2017",1642.5
"116","ABF ENTERPRISES","2018",1642.05
"117","ABF ENTERPRISES","2019",1652.49
"118","ABF ENTERPRISES","2020",1545.33
"119","ABF ENTERPRISES","2021",1634.13
"120","ABF ENTERPRISES","2022",1664.31
"121","ABF Enterprises LLC","2011",1440.15
"122","ABF Enterprises LLC","2012",1492.56
"123","ABF Enterprises LLC","2013",1498.56
"124","ABF Enterprises LLC","2014",1624.11
"125","ABIBOW US INC - Catawba Operations","2010",165838
"126","ABILENE ENVIRONMENTAL LANDFILL","2019",27655
"127","ABILENE ENVIRONMENTAL LANDFILL INC","2017",22027
"128","ABILENE ENVIRONMENTAL LANDFILL INC","2018",24647
"129","ABILENE ENVIRONMENTAL LANDFILL INC","2020",30745
"130","ABILENE ENVIRONMENTAL LANDFILL INC","2021",33241
"131","ABILENE ENVIRONMENTAL LANDFILL INC","2022",34690
"132","ABRAXAS PETROLEUM CORP","2015",100297
"133","ABRAXAS PETROLEUM CORP","2016",34092
"134","ABRAXAS PETROLEUM CORP","2017",19234
"135","ABRAXAS PETROLEUM CORP","2018",233222
"136","ABRAXAS PETROLEUM CORP","2019",364705
"137","ABRAXAS PETROLEUM CORP","2020",131335
"138","ABRAXAS PETROLEUM CORP","2021",149412
"139","ABRAXAS PETROLEUM CORP","2022",39118
"140","ABSOLUTE ENERGY LLC","2015",178561
"141","ABSOLUTE ENERGY LLC","2016",174562
"142","ABSOLUTE ENERGY LLC","2017",177140
"143","ABSOLUTE ENERGY LLC","2018",170172
"144","ABSOLUTE ENERGY LLC","2019",140703
"145","ABSOLUTE ENERGY LLC","2020",142519
"146","ABSOLUTE ENERGY LLC","2021",147592
"147","ABSOLUTE ENERGY LLC","2022",151052
"148","ABSOLUTE ENERGY, LLC","2011",167014
"149","ABSOLUTE ENERGY, LLC","2012",172951
"150","ABSOLUTE ENERGY, LLC","2013",180438
"151","ABSOLUTE ENERGY, LLC","2014",179162
"152","AC OCEAN WALK LLC","2019",188
"153","AC OCEAN WALK LLC","2020",248
"154","AC Ocean Walk LLC","2018",248
"155","ACADIA PARISH POLICE JURY","2011",47808
"156","ACADIA PARISH POLICE JURY","2012",49691
"157","ACADIA PARISH POLICE JURY","2013",50323
"158","ACADIA PARISH POLICE JURY","2014",51001
"159","ACADIA PARISH POLICE JURY","2015",51687
"160","ACADIA PARISH POLICE JURY","2016",52503
"161","ACADIA PARISH POLICE JURY","2017",52774
"162","ACADIA PARISH POLICE JURY","2018",53050
"163","ACADIA PARISH POLICE JURY","2019",53725
"164","ACADIA PARISH POLICE JURY","2020",45083
"165","ACADIA PARISH POLICE JURY","2021",45792
"166","ACADIA PARISH POLICE JURY","2022",46563
"167","ACCURIDE CORP","2015",52488
"168","ACCURIDE CORP","2016",50160
"169","ACCURIDE CORP","2017",56767
"170","ACCURIDE CORP","2018",69271
"171","ACCURIDE CORP","2020",52955
"172","ACCURIDE CORP","2021",51590
"173","ACCURIDE CORP","2022",42193
"174","ACE Cogeneration Company","2011",721407
"175","ACE Cogeneration Company","2012",581743
"176","ACE Cogeneration Company","2013",327423
"177","ACE Cogeneration Company","2014",368560
"178","ACE ETHANOL LLC","2015",73115
"179","ACE ETHANOL LLC","2016",74012
"180","ACE ETHANOL LLC","2017",73406
"181","ACE ETHANOL LLC","2018",73526
"182","ACE ETHANOL LLC","2019",154675
"183","ACE ETHANOL LLC","2020",99284
"184","ACE ETHANOL LLC","2021",126051
"185","ACE ETHANOL LLC","2022",157301
"186","ACE ETHANOL, LLC","2011",70091
"187","ACE ETHANOL, LLC","2012",71601
"188","ACE ETHANOL, LLC","2013",72119
"189","ACE ETHANOL, LLC","2014",75143
"190","ACE Ethanol, LLC","2010",71980
"191","ACI Energy Inc.","2011",344973
"192","ACI Energy Inc.","2012",302617
"193","ACI Energy Inc.","2013",87996
"194","ACME BRICK COMPANY","2011",22273
"195","ACME BRICK COMPANY","2012",24725
"196","ACME BRICK COMPANY","2013",31235
"197","ACME BRICK COMPANY","2014",29376
"198","ACMS INC","2016",29670
"199","ACMS INC","2017",47097
"200","ADA CARBON SOLUTIONS LLC","2015",188763
"201","ADA CARBON SOLUTIONS LLC","2016",220377
"202","ADA CARBON SOLUTIONS LLC","2017",183758
"203","ADA CARBON SOLUTIONS LLC","2018",197307
"204","ADA CARBON SOLUTIONS LLC","2019",172185
"205","ADA CARBON SOLUTIONS LLC","2020",194427
"206","ADA CARBON SOLUTIONS LLC","2021",273325
"207","ADA CARBON SOLUTIONS LLC","2022",321030
"208","ADA COGEN HOLDINGS LP","2016",93188.715
"209","ADA COGEN HOLDINGS LP","2017",94775.74
"210","ADA COGEN HOLDINGS LP","2018",100484.055
"211","ADA COGENERATION LP","2019",80986.035
"212","ADA COGENERATION LP","2021",104600
"213","ADA COGENERATION LP","2022",126690
"214","ADA COUNTY","2015",138761
"215","ADA COUNTY","2016",113222
"216","ADA COUNTY","2017",76916
"217","ADA COUNTY","2018",77435
"218","ADA Carbon Solutions, LLC","2011",62534
"219","ADA Carbon Solutions, LLC","2012",126980
"220","ADA Carbon Solutions, LLC","2013",97534
"221","ADA Carbon Solutions, LLC","2014",143455
"222","ADKINS ENERGY LLC","2011",73369
"223","ADKINS ENERGY LLC","2012",65913
"224","ADKINS ENERGY LLC","2013",67655
"225","ADKINS ENERGY LLC","2014",74812
"226","ADKINS ENERGY LLC","2015",76422
"227","ADKINS ENERGY LLC","2016",80071
"228","ADKINS ENERGY LLC","2017",85443
"229","ADKINS ENERGY LLC","2018",84644
"230","ADKINS ENERGY LLC","2019",91352
"231","ADKINS ENERGY LLC","2020",86205
"232","ADKINS ENERGY LLC","2021",90388
"233","ADKINS ENERGY LLC","2022",93889
"234","ADS WASTE HOLDINGS INC","2010",43495
"235","ADS WASTE HOLDINGS INC","2011",80350
"236","ADS WASTE HOLDINGS INC","2012",475782
"237","ADS WASTE HOLDINGS INC","2015",2488582
"238","ADS WASTE HOLDINGS INC","2016",2512068
"239","ADS WASTE HOLDINGS INC","2017",1097491
"240","ADS WASTE HOLDINGS INC","2018",1115388
"241","ADS Waste Holdings, Inc","2014",1301852
"242","ADS Waste Holdings, Inc.","2012",66617
"243","ADS Waste Holdings, Inc.","2013",28954
"244","ADS Waste Holdings, Inc.","2014",13047
"245","ADVANCE ENERGY PARTNERS LLC","2021",103285
"246","ADVANCE ENERGY PARTNERS LLC","2022",148987
"247","ADVANCED BIOENERGY LLC","2011",300711
"248","ADVANCED BIOENERGY LLC","2012",11379
"249","ADVANCED BIOENERGY LLC","2013",122782
"250","ADVANCED BIOENERGY LLC","2014",430866
"251","ADVANCED BIOENERGY LLC","2015",133651
"252","ADVANCED BIOENERGY LLC","2016",119615
"253","ADVANCED BIOENERGY LLC","2017",111126
"254","ADVANCED BIOENERGY LLC","2018",112371
"255","ADVANCED BIOENERGY LLC","2019",106682
"256","ADVANCED BIOENERGY LLC","2020",125748
"257","ADVANCED DISPOSAL SERVICES","2010",192395
"258","ADVANCED DISPOSAL SERVICES","2011",858016
"259","ADVANCED DISPOSAL SERVICES","2012",887324
"260","ADVANCED DISPOSAL SERVICES","2013",2705710
"261","ADVANCED DISPOSAL SERVICES","2014",882443
"262","ADVANCED DISPOSAL SERVICES INC","2017",1335804
"263","ADVANCED DISPOSAL SERVICES INC","2018",1945129
"264","ADVANCED DISPOSAL SERVICES INC","2019",3448272
"265","ADVANCED GRAPHITE MATERIALS LLC","2018",3252
"266","ADVANSIX INC","2016",1017233
"267","ADVANSIX INC","2017",1251333
"268","ADVANSIX INC","2018",1678725
"269","ADVANSIX INC","2019",1625453
"270","ADVANSIX INC","2020",1403860
"271","ADVANSIX INC","2021",1431093
"272","ADVANSIX INC","2022",1381436
"273","AEIF BIRDSBORO LLC","2020",435486.7803
"274","AEIF BIRDSBORO LLC","2022",348696.7935
"275","AEIF Birdsboro LLC","2021",417077.6214
"276","AEIF HILL TOP LLC","2022",621544.2394
"277","AEIF Hill Top, LLC","2021",314359.554537
"278","AEIF LINDEN SPV LLC","2016",1187374
"279","AEIF LINDEN SPV LLC","2017",1250332.5
"280","AEIF LINDEN SPV LLC","2018",388450.3
"281","AEIF Linden SPV LLC","2015",1139507.5
"282","AEIF ST JOSEPH HOLDING V LLC","2018",1140584.8
"283","AEIF ST JOSEPH HOLDING V LLC","2019",1632480.8
"284","AEIF ST JOSEPH HOLDING V LLC","2020",1380672.8
"285","AEMETIS INC","2016",69849
"286","AEMETIS INC","2017",74974
"287","AEMETIS INC","2018",78203
"288","AEMETIS INC","2019",75887
"289","AEMETIS INC","2020",75134
"290","AEMETIS INC","2021",74282
"291","AEMETIS INC","2022",69710
"292","AEP GENERATION RESOURCES INC","2014",1728410.161
"293","AEP GENERATION RESOURCES INC","2015",1358390.222
"294","AEP GENERATION RESOURCES INC","2016",1222883.762
"295","AEP GENERATION RESOURCES INC","2018",532035.92
"296","AER NY-Gen, LLC","2010",1521
"297","AER NY-Gen, LLC","2011",1554
"298","AER NY-Gen, LLC","2012",1118
"299","AER NY-Gen, LLC","2013",1885
"300","AERA ENERGY LLC","2011",429259.5
"301","AERA ENERGY LLC","2012",426549
"302","AES CORP","2011",7313957
"303","AES CORP","2012",5512150
"304","AES CORP","2013",5309360
"305","AES CORP","2014",11531207.82
"306","AES CORP","2015",28744261.91
"307","AES CORP","2016",27788460.11
"308","AES CORP","2017",24767688.15
"309","AES CORP","2018",21093084.06
"310","AES CORP","2019",19586034.5
"311","AES CORP","2020",16746029
"312","AES CORP","2021",19500128
"313","AES CORP","2022",19517551
"314","AES Corporation","2010",14710573
"315","AES Corporation","2011",1487365
"316","AES Corporation","2012",1408065
"317","AES Corporation","2013",1482156
"318","AES Corporation","2014",1367443
"319","AES Eastern Energy LP","2010",1728255
"320","AES Eastern Energy LP","2011",103846
"321","AES Eastern Energy, LP","2010",588360
"322","AES Eastern Energy, LP","2011",1142700
"323","AES Eastern Energy,LP","2010",269956
"324","AES Ohio Generation, LLC","2018",716202.2
"325","AETHON ENERGY","2015",53018
"326","AETHON ENERGY","2016",505788
"327","AETHON ENERGY","2017",443414
"328","AETHON ENERGY","2018",443219
"329","AETHON ENERGY OPERATING LLC","2019",568291
"330","AETHON UNITED BR LP","2020",535355
"331","AETHON UNITED BR LP","2021",621634
"332","AETHON UNITED BR LP","2022",858762
"333","AG ENERGY LP","2015",9454
"334","AG ENERGY LP","2016",8417
"335","AG ENERGY LP","2017",8104
"336","AG ENERGY LP","2018",8596
"337","AG ENERGY PARTNERS LP","2019",8453
"338","AG ENERGY PARTNERS LP","2020",7330
"339","AG ENERGY PARTNERS LP","2021",6779
"340","AG ENERGY PARTNERS LP","2022",6188
"341","AG Energy, LP","2010",9712
"342","AG Energy, LP","2011",10525
"343","AG Energy, LP","2012",9060
"344","AG Energy, LP","2013",9405
"345","AG Energy, LP","2014",9324
"346","AG PROCESSING INC","2011",473388
"347","AG PROCESSING INC","2012",487717
"348","AG PROCESSING INC","2013",407215
"349","AG PROCESSING INC","2014",336534
"350","AG PROCESSING INC","2015",375422
"351","AG PROCESSING INC","2016",428085
"352","AG PROCESSING INC","2017",480109
"353","AG PROCESSING INC","2018",506166
"354","AG PROCESSING INC","2019",484959
"355","AG PROCESSING INC A COOPERATIVE","2020",489536
"356","AG PROCESSING INC A COOPERATIVE","2021",493518
"357","AG PROCESSING INC A COOPERATIVE","2022",481933
"358","AGAVE ENERGY HOLDINGS","2016",83899
"359","AGC","2010",45429
"360","AGC AMERICA INC","2015",229821.6
"361","AGC AMERICA INC","2016",223458.8
"362","AGC AMERICA INC","2017",235178.6
"363","AGC AMERICA INC","2018",237273.2
"364","AGC AMERICA INC","2019",243886.4
"365","AGC AMERICA INC","2020",509559
"366","AGC AMERICA INC","2021",299735.6
"367","AGC AMERICA INC","2022",97673
"368","AGC America Inc.","2011",211615.4
"369","AGC America Inc.","2012",217411.2
"370","AGC America Inc.","2013",220994.2
"371","AGC America Inc.","2014",226656.6
"372","AGC FLAT GLASS NORTH AMERICA","2011",145771
"373","AGC FLAT GLASS NORTH AMERICA","2012",132033
"374","AGC FLAT GLASS NORTH AMERICA","2013",90721
"375","AGC FLAT GLASS NORTH AMERICA","2014",69030
"376","AGC FLAT GLASS NORTH AMERICA INC","2019",329698
"377","AGC FLAT GLASS NORTH AMERICA, INC.","2011",95890
"378","AGC FLAT GLASS NORTH AMERICA, INC.","2012",96834
"379","AGC FLAT GLASS NORTH AMERICA, INC.","2013",100289
"380","AGC FLAT GLASS NORTH AMERICA, INC.","2014",98878
"381","AGC Flat Glass North America, Inc.","2010",100283
"382","AGC GLASS CO NORTH AMERICA","2015",361286
"383","AGC GLASS CO NORTH AMERICA","2016",406098
"384","AGC GLASS CO NORTH AMERICA","2017",427773
"385","AGC GLASS CO NORTH AMERICA","2018",305097
"386","AGC Glass Company North America","2010",29466
"387","AGL RESOURCES INC","2011",714171
"388","AGL RESOURCES INC","2012",658167
"389","AGL RESOURCES INC","2013",624250
"390","AGL RESOURCES INC","2014",611141
"391","AGL RESOURCES INC","2015",579514
"392","AGL RESOURCES INC","2016",227860
"393","AGRA MARKE QUALITY GRAINS INC","2015",40716.36
"394","AGRA MARKE QUALITY GRAINS INC","2016",39621.39
"395","AGRA MARKE QUALITY GRAINS INC","2017",40041.63
"396","AGRA MARKE QUALITY GRAINS INC","2018",40422.6
"397","AGRA MARKE QUALITY GRAINS INC","2019",34142.46
"398","AGRA MARKE QUALITY GRAINS INC","2020",37898.61
"399","AGRA MARKE QUALITY GRAINS INC","2021",39865.68
"400","AGRA MARKE QUALITY GRAINS INC","2022",38073.54
"401","AGRI-MARK INC","2015",17786
"402","AGRI-MARK INC","2016",19378
"403","AGRI-MARK INC","2017",20719
"404","AGRI-MARK INC","2018",22754
"405","AGRI-MARK INC","2019",21685
"406","AGRIUM US INC","2011",270764
"407","AGRIUM US INC","2012",1295390
"408","AGRIUM US INC","2013",1193985
"409","AGRIUM US INC","2014",1088164
"410","AGRIUM US INC","2015",1122094
"411","AGRIUM US INC","2016",1047904
"412","AGRIUM US INC","2017",1104319
"413","AGRIUM US INC","2018",1352528
"414","AGRIUM US INC","2019",1047756
"415","AGRIUM US INC","2020",1100735
"416","AGRIUM US INC","2021",917405
"417","AGRIUM US INC","2022",1169578
"418","AGROPUR INC","2017",56451
"419","AGROPUR INC","2018",57342
"420","AGROPUR INC","2019",90073
"421","AGROPUR INC","2020",101132
"422","AGROPUR INC","2021",105581
"423","AGROPUR INC","2022",109476
"424","AGY HOLDING CO","2011",13859
"425","AGY HOLDING CO","2012",12802
"426","AGY HOLDING CO","2013",11912
"427","AGY HOLDING CO","2014",8486
"428","AGY HOLDING CORP","2010",12833
"429","AHLSTROM FILTRATION LLC","2015",19066
"430","AHLSTROM FILTRATION LLC","2016",17455
"431","AHLSTROM FILTRATION LLC","2017",16543
"432","AHLSTROM FILTRATION LLC","2018",17028
"433","AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2019",764284
"434","AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2020",424677
"435","AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2021",850093
"436","AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC","2022",765176
"437","AHLSTROM-MUNKSJO USA INC","2020",358854
"438","AIM Developement USA LLC","2015",115943
"439","AIM Developement USA LLC","2016",77620
"440","AIM Developement USA LLC","2017",70988
"441","AIM Development USA LLC","2018",71278
"442","AIM Development USA LLC","2019",61792
"443","AIM Development USA LLC","2020",2941
"444","AIM Development USA LLC","2021",4197
"445","AIM Development USA LLC","2022",6817
"446","AIM Midstream Holdings, LLC","2010",36610.84
"447","AIP LLC","2021",180760
"448","AIP LLC","2022",179977
"449","AIR PRODUCTS & CHEMICALS INC","2011",7932934
"450","AIR PRODUCTS & CHEMICALS INC","2012",7845432
"451","AIR PRODUCTS & CHEMICALS INC","2013",8098553
"452","AIR PRODUCTS & CHEMICALS INC","2014",8859206
"453","AIR PRODUCTS & CHEMICALS INC","2015",12466575
"454","AIR PRODUCTS & CHEMICALS INC","2016",12310104
"455","AIR PRODUCTS & CHEMICALS INC","2017",12445640
"456","AIR PRODUCTS & CHEMICALS INC","2018",12523837
"457","AIR PRODUCTS & CHEMICALS INC","2019",12683849
"458","AIR PRODUCTS & CHEMICALS INC","2020",11606326
"459","AIR PRODUCTS & CHEMICALS INC","2021",12455743
"460","AIR PRODUCTS & CHEMICALS INC","2022",13342140
"461","AIRCRAFT SERVICES CORP - GENERAL","2015",54429
"462","AIRGAS INC","2018",3111
"463","AIRGAS INC","2019",3255
"464","AIRGAS INC","2020",4004
"465","AIRGAS INC","2021",3789
"466","AIRGAS INC","2022",2214
"467","AJINOMOTO ANIMAL NUTRITION NORTH AMERICA INC","2019",127170
"468","AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC","2021",113044
"469","AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC","2022",116860
"470","AJINOMOTO HEARTLAND INC","2015",116559
"471","AJINOMOTO HEARTLAND INC","2016",119426
"472","AJINOMOTO HEARTLAND INC","2017",140750
"473","AK STEEL CORP","2011",7295456
"474","AK STEEL CORP","2012",7086479
"475","AK STEEL CORP","2013",6606064
"476","AK STEEL CORP","2014",8530489.08
"477","AK STEEL CORP","2015",7864322.4
"478","AK STEEL CORP","2016",6773647.4
"479","AK STEEL CORP","2017",6370792.16
"480","AK STEEL CORP","2018",6518858.76
"481","AK STEEL HOLDING CORP","2019",6508748.6
"482","AK Steel Corporation","2010",7723313
"483","AK Steel Corporation","2011",514574
"484","AK Steel Corporation","2012",491447
"485","AK Steel Corporation","2013",499968
"486","AK Steel Corporation","2014",524590
"487","AKA ENERGY GROUP LLC","2015",221768
"488","AKA ENERGY GROUP LLC","2016",385443
"489","AKA ENERGY GROUP LLC","2017",254119
"490","AKA ENERGY GROUP LLC","2018",271443
"491","AKA ENERGY GROUP, LLC","2011",243101
"492","AKA ENERGY GROUP, LLC","2012",311731
"493","AKA ENERGY GROUP, LLC","2013",225819
"494","AKA ENERGY GROUP, LLC","2014",239921
"495","AKIN BEENE RESOURCES LLC","2016",49237
"496","AKIN BEENE RESOURCES LLC","2017",50124
"497","AKZO NOBEL CHEMICALS INC","2015",77551
"498","AKZO NOBEL CHEMICALS INC","2016",110605
"499","AKZO NOBEL CHEMICALS INC","2017",166978
"500","AKZO NOBEL CHEMICALS INC","2018",71212
"501","AKZO NOBEL INC","2020",42139
"502","AKZO NOBEL INC","2021",27953
"503","AL COGEN LLC","2015",191525.5
"504","AL COGEN LLC","2016",193612.5
"505","AL COGEN LLC","2017",208066
"506","AL COGEN LLC","2018",212428
"507","AL COGEN LLC","2019",208125.5
"508","AL COGEN LLC","2020",42772
"509","AL COGEN PARTNER, LLC","2014",188247.71
"510","AL COGEN, LLC","2014",3841.79
"511","AL SANDERSVILLE LLC","2015",4605
"512","AL SANDERSVILLE LLC","2016",4392
"513","AL SANDERSVILLE LLC","2018",44153
"514","AL SANDERSVILLE LLC","2019",49762
"515","AL SANDERSVILLE LLC","2020",23939
"516","AL SANDERSVILLE LLC","2021",96515
"517","AL SANDERSVILLE LLC","2022",104385
"518","AL SANDERSVILLE, LLC","2011",8564
"519","AL SANDERSVILLE, LLC","2012",20800
"520","AL SANDERSVILLE, LLC","2013",2166
"521","AL SANDERSVILLE, LLC","2014",5634
"522","AL Sandersville, LLC","2010",32748
"523","AL TURI LANDFILL INC","2015",22487
"524","AL TURI LANDFILL INC","2016",41304
"525","AL TURI LANDFILL, INC","2011",16619
"526","AL TURI LANDFILL, INC","2012",20301
"527","AL TURI LANDFILL, INC","2013",29548
"528","AL TURI LANDFILL, INC","2014",21637
"529","AL-CORN CLEAN FUEL","2011",76105
"530","AL-CORN CLEAN FUEL","2012",74912
"531","AL-CORN CLEAN FUEL","2013",78377
"532","AL-CORN CLEAN FUEL","2014",75060
"533","AL-CORN CLEAN FUEL","2015",71172
"534","AL-CORN CLEAN FUEL","2016",78167
"535","AL-CORN CLEAN FUEL","2017",77046
"536","AL-CORN CLEAN FUEL","2018",139473
"537","AL-CORN CLEAN FUEL","2019",165458
"538","AL-CORN CLEAN FUEL","2020",162045
"539","AL-CORN CLEAN FUEL","2021",187877
"540","AL-CORN CLEAN FUEL","2022",203160
"541","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2011",5047
"542","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2012",4300
"543","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2013",508
"544","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2014",17008
"545","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2015",39004
"546","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2016",28254
"547","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2017",14838
"548","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2018",20672
"549","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2019",28257
"550","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2020",22422
"551","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2021",27827
"552","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","2022",55059
"553","ALAMANCE COUNTY","2015",119232
"554","ALAMANCE COUNTY","2016",122303
"555","ALAMANCE COUNTY","2017",121429
"556","ALAMANCE COUNTY","2018",123568
"557","ALAMO CEMENT CO","2015",755595
"558","ALAMO CEMENT CO","2016",827666
"559","ALAMO CEMENT CO","2017",807287
"560","ALAMO CEMENT CO","2018",773418
"561","ALAMO CEMENT CO","2019",817273
"562","ALAMO CEMENT CO","2020",785478
"563","ALAMO CEMENT CO","2021",821901
"564","ALAMO CEMENT CO","2022",737492
"565","ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2011",190497
"566","ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2012",211841
"567","ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2013",178656
"568","ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","2014",192999
"569","ALASKA VILLAGE ELECTRIC COOPERATIVE","2016",30806
"570","ALASKA VILLAGE ELECTRIC COOPERATIVE","2017",30858
"571","ALASKA VILLAGE ELECTRIC COOPERATIVE","2018",30332
"572","ALASKA VILLAGE ELECTRIC COOPERATIVE","2019",30660
"573","ALASKA VILLAGE ELECTRIC COOPERATIVE","2020",62697
"574","ALASKA VILLAGE ELECTRIC COOPERATIVE","2021",62108
"575","ALASKA VILLAGE ELECTRIC COOPERATIVE","2022",61229
"576","ALBANY GREEN ENERGY LLC","2017",4313
"577","ALBANY GREEN ENERGY LLC","2018",1603
"578","ALBANY GREEN ENERGY LLC","2019",6365
"579","ALBANY GREEN ENERGY LLC","2020",7735
"580","ALBANY GREEN ENERGY LLC","2021",9656
"581","ALBANY GREEN ENERGY LLC","2022",9765
"582","ALBEMARLE CORP","2011",140486
"583","ALBEMARLE CORP","2012",127441
"584","ALBEMARLE CORP","2013",132445
"585","ALBEMARLE CORP","2014",84675
"586","ALBEMARLE CORP","2015",261045
"587","ALBEMARLE CORP","2016",232909
"588","ALBEMARLE CORP","2017",237791
"589","ALBEMARLE CORP","2018",239551
"590","ALBEMARLE CORP","2019",242638
"591","ALBEMARLE CORP","2020",238652
"592","ALBEMARLE CORP","2021",230764
"593","ALBEMARLE CORP","2022",236979
"594","ALBERT EINSTEIN COLLEGE OF MEDICINE","2015",38757
