text,classification
"On July 15, 2022 (87 FR 42401), FHWA published a NPRM to establish a GHG measure.",none
"After reconsidering the arguments for the 2018 final rule and finding them lacking, FHWA proposed to require State DOTs and MPOs that have NHS mileage within their State geographic boundaries and metropolitan planning area boundaries, respectively, to establish declining targets for reducing CO2

emissions generated by on-road mobile sources, that align with the Administration's target of net-zero emissions, economy-wide, by 2050, accordance with the national policy established under section 1 of E.O. 13990, “Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis”, section 201 of E.O. 14008, “Tackling the Climate Crisis at Home and Abroad”, and at the Leaders Summit on Climate.",net-zero
"Under the proposed rule, State DOTs would establish 2- and 4-year statewide emissions reduction targets, and MPOs would establish 4-year emissions reduction targets for their metropolitan planning areas.",reduction
"In addition, FHWA proposed to require MPOs serving select UZA to establish additional joint targets.",none
"The term “urbanized area” means a geographic area with a population of 50,000 or more, as designated by the Bureau of the Census.",none
See23 U.S.C. 101(a)(36); 23 CFR 450.104.,none
"The NPRM specified that when the metropolitan planning area boundaries of two or more MPOs overlap any portion of the same UZA, and the UZA contains NHS mileage, those MPOs would establish joint 4-year targets for that UZA.",none
This joint target would be established in addition to each MPO's target for their metropolitan planning area.,none
"Further, FHWA proposed to require State DOTs and MPOs to set declining targets for reducing tailpipe CO2

emissions on the NHS.",none
"Under the NPRM, State DOTs and MPOs would have the flexibility to set targets that work for their respective climate change policies and other policy priorities, so long as they aligned with the goal of net-zero GHG emissions, economy-wide, by 2050.",net-zero
"The FHWA also proposed to require State DOTs and MPOs to report on their progress in 

meeting the targets.",none
"The FHWA identified that the proposed rule would apply to the 50 States, the District of Columbia, and Puerto Rico, consistent with the definition of the term “State” in 23 U.S.C. 101(a).",none
The FHWA now finalizes the proposed measure with some modifications.,none
"Statutory Authority for Performance Management and the GHG Measure

The FHWA is establishing the GHG emissions performance measure under 23 U.S.C. 150(c)(3), which calls for FHWA to establish performance measures that the States can use to assess performance of the Interstate and non-Interstate NHS for the purpose of carrying out the NHPP under 23 U.S.C. 119.",none
See23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V).,none
The FHWA received many comments both in support and in opposition to the Agency's authority to promulgate this rulemaking.,none
"After considering these comments, FHWA reaffirms that Congress provided FHWA with clear authority to develop performance measures to help State DOTs and MPOs address significant and long-term issues impacting the performance of the transportation system.",none
These comments and FHWA's response are further discussed in Section VII of this preamble.,none
The FHWA has determined that measuring environmental performance of the Interstate and non-Interstate NHS is vital to meeting the Agency's obligations under 23 U.S.C. 150.,none
"As discussed in the NPRM, Congress charged FHWA with establishing performance measures, but did not define the term “performance,” as used in 23 U.S.C. 150(c)(3).",none
"Thus, FHWA must interpret this term in the context of the statute, FHWA's statutory authority in Title 23, U.S.C., to administer the Federal-aid highway program, and congressional intent.",none
"Accordingly, FHWA is interpreting “performance” of the Interstate System and non-Interstate NHS under 23 U.S.C. 150(c) to include the system's environmental performance, consistent with the program's statutorily mandated goal to enhance the performance of the transportation system while protecting and enhancing the natural environment.",none
"As described further in this preamble, FHWA interprets this national goal to mean that the Agency should take reasonable steps to assist State DOTs and MPOs measure and evaluate the GHG emissions on the Interstate and non-Interstate NHS.",none
"The FHWA's interpretation of performance under 23 U.S.C. 150(c) is consistent with 23 U.S.C. 119(e), which calls for State DOTs to develop a performance-driven asset management plan that would “support progress toward the achievement of the national goals identified in section 150(b).” 23 U.S.C. 119(e)(2).",none
"In addition, 23 U.S.C. 119(b) provides the purposes of the NHPP, which include supporting the condition and performance of the NHS, supporting construction of new facilities on the NHS, ensuring investments of Federal-aid funds in highway construction are directed to support progress toward the achievement of performance targets established in a State asset management plan, and supporting activities to increase the resiliency of the NHS to mitigate the cost of damages from sea level rise, extreme weather events, flooding, wildfires, or other natural disasters.",none
"Assessing environmental performance provides support for activities to increase the resiliency of the NHS to mitigate the cost of damages from sea level rise, extreme weather events, flooding, wildfires, or other natural disasters.",none
"Importantly, FHWA does not believe its authority in this area is unlimited.",none
"Since 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) refers only to the performance of the Interstate System and the non-Interstate NHS, FHWA only has authority to apply this measure to the Interstate System and the non-Interstate NHS.",none
"In addition, FHWA is only requiring that State DOTs and MPOs establish declining targets for GHG emissions on the NHS.",none
The FHWA is neither requiring any specific targets nor mandating any penalties for failing to achieve these targets.,none
"The measure and the associated targets are intended only to help State DOTs and MPOs consistently and transparently monitor the current performance of the NHS, and plan transportation projects in a way that protects the long-term performance of the NHS.",none
"As described in the NPRM, 

see87 FR 42408, Congress specifically directed FHWA to establish measures for States to use to assess the performance of the Interstate System and the non-Interstate NHS.",none
See23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V).,none
"Although Congress did not define the meaning of performance under this provision, the statute identifies seven national goals to inform performance management.",none
"Environmental sustainability is one of the specifically identified goals, which is defined as “enhanc[ing] the performance of the transportation system while protecting and enhancing the natural environment.” 23 U.S.C. 150(b)(6).",none
"Congress directed FHWA to determine the nature and scope of the specific performance measures that will fulfill the statutory mandate in 23 U.S.C. 150(c), and has not clarified this authority even after FHWA finalized the three national performance management measure rulemakings described earlier.",none
The FHWA notes that 23 U.S.C. 150(c)(2)(C) limits performance measures to those described in 23 U.S.C. 150(c).,none
"When FHWA repealed the GHG performance measure, the Agency took an unduly narrow view and determined that since 23 U.S.C. 150(c)(2)(C) directs FHWA to limit performance measures only to those described in 23 U.S.C. 150(c), FHWA's previous interpretation that performance of the Interstate System and the National Highway System under 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) includes environmental performance was overly broad.",none
"As FHWA described in the NPRM, 

see87 FR 42408, this provision limits FHWA's authority to establish measures States use to assess performance only to the Interstate System and the non-Interstate NHS.",none
"However, the provision does not otherwise limit the meaning of “performance,” and upon reconsideration, FHWA has determined that its original interpretation of the scope of its section 150(c) authority from the 2017 final rule is the better read of the statute.",none
"Specifically, in light of the explicit statutory goal of environmental sustainability, the significant risks that climate change-driven extreme weather pose to the condition and performance of NHS, and FHWA's unquestioned authority to establish performance measures, FHWA believes that it is appropriate to interpret the meaning of performance of the Interstate System and the non-Interstate NHS under 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) to include environmental performance.",none
"As described in the NPRM and previously discussed in this preamble, this GHG measure is consistent with other parts of Title 23, U.S.C., notably 23 U.S.C. 119.",none
"Section 119(d)(1) of Title 23, U.S.C., establishes eligibility criteria for using funds apportioned to a State for carrying out the NHPP, but does not set forth all relevant considerations for carrying out the program.",none
"For example, 23 U.S.C. 119(d)(2) identifies purposes for eligible projects, including development and implementation of a State DOT's asset management plan for the NHS under 23 U.S.C. 119(e), and environmental mitigation efforts related to projects funded under 23 U.S.C. 119(g).",none
"Section 119(e) calls for a performance-driven asset management plan that would “support progress toward the achievement of the national goals identified in Section 150(b)”, 

which includes the environmental sustainability national goal under 23 U.S.C. 150(b)(6).",none
"Risk-based asset management planning under 23 U.S.C. 119(e) includes consideration of life-cycle costs and risk management, financial planning, and investment strategies.",none
"Rapidly changing climate and increased weather extremes because of fossil fuel combustion directly impact the condition and performance of transportation facilities because of increases in heavy precipitation, coastal flooding, heat, wildfires, and other extreme events.",none
"Extreme events are already leading to transportation challenges, inducing societal and economic consequences, which will only increase in the years ahead.",none
"The number of billion-dollar climate disaster events has been much higher over the last 5 years than the annual average over the last 30 years.[5] 

Low-income and vulnerable populations are disproportionately affected by the impacts of climate change.[6] 

These impacts are not attributable to any single action, but are exacerbated by a series of actions, including actions taken under the Federal-aid highway program.",none
"Recognizing the need to plan for and consider the risks of extreme weather, Congress amended the requirements for States' asset management plans under 23 U.S.C. 119(e) to include lifecycle cost and risk management analyses that specifically consider extreme weather and resilience.",none
See23 U.S.C. 119(e)(4)(D) (as amended by Pub.,none
"Measuring environmental performance through the GHG performance measure will assist States in considering CO2

emissions from transportation in the performance management framework, including the impact of CO2

emissions on the medium- and long-term conditions of transportation assets arising from the risks of, and costs related to extreme weather, and help frame responses to the growing climate crisis.",none
"Therefore, the GHG performance measure is appropriate in light of 23 U.S.C. 119, and FHWA has determined that the Agency's interpretation of “performance” to include “environmental performance” is consistent with 23 U.S.C. 119.",none
"As FHWA noted in the NPRM, several other provisions in Title 23, U.S.C., support FHWA's authority for its proposal to address GHG emissions in this rulemaking.",none
"To help conceptualize FHWA's framework for analyzing its authority under Title 23, U.S.C., this preamble restates these provisions as follows:

In Section 101(b)(3)(G), Congress declared that “transportation should play a significant role in promoting economic growth, improving the environment, and sustaining the quality of life.”

Section 134(a)(1) states as a matter of transportation planning policy that “[i]t is in the national interest to encourage and promote the safe and efficient management, operation, and development of surface transportation systems .",none
Section 134(h) defines the scope of the metropolitan planning process.,none
"Paragraphs (h)(1)(E) and (I), respectively, require consideration of projects and strategies that will “.",none
Section 135(d)(1) defines the scope of the statewide planning process.,none
"Paragraphs (d)(1)(E) and (I), respectively, require consideration of projects, strategies, and services that will “.",none
Section 135(d)(2) requires the statewide transportation planning process to “.,none
"The FHWA reaffirms that these Title 23, U.S.C., provisions make it clear that assessing infrastructure performance under 23 U.S.C. 150(c)(3) properly encompasses the assessment of environmental performance, including GHG emissions and other climate-related matters.",none
"As noted in FHWA's May 2018 repeal of the 2017 GHG measure, nothing in the statute specifically requires FHWA to adopt a GHG emissions measure.",none
"However, consistent with the statutory provisions cited above, no provision of law prohibits FHWA from adopting a GHG emissions measure, despite ample opportunity for Congress to do so.",none
"On November 15, 2021, President Biden signed the Infrastructure Investment and Jobs Act (IIJA) (Pub.",none
"L. 117-58, also known as the “Bipartisan Infrastructure Law”) (BIL) into law.",none
The BIL does not explicitly direct FHWA to assess environmental performance.,none
"However, Congress set forth new programs and eligibilities under BIL that State DOTs and MPOs will use to address GHG emissions, and environmental performance will be central to proper administration of the programs.",none
"Thus, this GHG measure will help State DOTs and MPOs effectively use these new transportation dollars.",none
"For example, BIL authorized a new Carbon Reduction Program (CRP) codified at 23 U.S.C. 175.",none
The CRP provides billions of dollars for Fiscal Years 2022-2026 for use on a range of projects that can demonstrate reductions in transportation emissions over the project's lifecycle.,none
The CRP also requires State DOTs to develop a carbon reduction strategy in consultation with any MPO designated within the State to support efforts to reduce transportation emissions and identify projects and strategies to reduce these emissions.,none
"Similarly, BIL included new language regarding national electric vehicle charging and hydrogen, propane, and natural gas fueling corridors to support changes in the transportation sector that help achieve a reduction in GHG emissions.",none
These programs are two examples of Congress' express focus on using transportation programs to reduce GHG emissions from transportation sources.,none
"The FHWA's GHG measure will help State DOTs and MPOs track the effectiveness of their transportation investments in projects that reduce GHG emissions, both through these programs and through other programs, such as the Surface Transportation Block Grant Program authorized at 23 U.S.C. 133.",none
"The establishment of the GHG measure does not force investments in specific projects or strategies to reduce emissions, nor does it require the achievement of an absolute reduction target.",none
"However, FHWA has determined that the targets for the GHG measure 

should show a reduction in CO2

emissions.",reduction
"As discussed in response to comments in Section VII of this preamble, the establishment of declining targets is vital given the urgency of the climate crisis.",none
"Establishing declining targets will help State DOTs and MPOs plan toward reductions in GHG emissions and make Federal infrastructure investment decisions that reduce climate pollution, a principle set forth in E.O. 14008 (86 FR 7626).",none
"State DOTs and MPOs will set targets that indicate a reduction in CO2

emissions, which FHWA has determined will be supportive of the policy goals set forth in 23 U.S.C. 150(b).",reduction
"Although the rule requires declining targets for CO2

emissions, FHWA is not setting forth any requirements in this rulemaking to determine how State DOTs and MPOs should determine their declining targets.",none
"In addition, as directed by 23 U.S.C. 145, States determine which of their projects shall be federally financed by Federal-aid highway formula dollars.",none
State DOTs and MPOs will set and determine targets based on appropriate data as informed by State DOT and MPO policies and priorities.,none
"The FHWA is not prescribing what declining targets would look like in each State or MPO, and FHWA is not requiring State DOTs and MPOs to achieve targeted emission reductions, nor prescribing the selection of specific projects under this rulemaking.",none
"Thus, this approach is consistent with the Agency's authority under 23 U.S.C. 150(c) to establish measures for States to use to assess the performance of the Interstate and non-Interstate NHS in the furtherance of the national goal to enhance the performance of the transportation system while protecting and enhancing the natural environment.",none
"In addition, adopting the measure for GHG emissions under 23 U.S.C. 150(c)(3) is appropriate in light of the structure of the TPM program.",none
"As discussed in the NPRM, Congress required FHWA to establish performance measures for a number of programs in addition to the NHPP, including an emissions related measure for the CMAQ Program under 23 U.S.C. 149.",none
"As discussed in the NPRM and in response to comments in Section VII of this preamble, the existence of the CMAQ emissions measure has raised questions regarding whether Congress intended FHWA to only measure emissions when those emissions are related to CMAQ, which is limited to criteria pollutants and nonattainment or maintenance areas under the Clean Air Act.",none
"However, this language only indicates congressional intent that FHWA establish a performance measure for on-road mobile source emissions for the purposes of carrying out the CMAQ Program.",none
Nothing in 23 U.S.C. 150 limits measures that take into account emissions only to measures established for the purposes of carrying out the CMAQ Program.,none
The FHWA has determined that it is appropriate to examine relevant emissions as part of assessing performance of the Interstate and non-Interstate NHS in support of the NHPP.,none
"For all of these reasons, FHWA asserts the GHG measure is consistent with FHWA's authority under 23 U.S.C. 150(c).",none
"Reconsideration of Previous Actions

As discussed in Section II of this preamble, and detailed in Section III.C of the NPRM, FHWA has previously proposed and finalized actions related to a GHG measure.",none
"Specifically, FHWA previously finalized the PM3 rule, through which the Agency considered extensive public comments on whether and how FHWA should establish a GHG measure.",none
"The FHWA determined that it was appropriate to measure environmental performance, specifically as the percent change in CO2

emissions from the reference year 2017, generated by on-road mobile sources on the NHS (82 FR 5970).",none
"On October 5, 2017 (82 FR 46427), however, FHWA proposed to repeal the 2017 GHG measure.",none
"As discussed in more detail in the NPRM to this action, FHWA repealed the GHG measure on May 31, 2018 (83 FR 24920), in light of policy direction from the previous administration to review existing regulations to determine whether changes would be appropriate to eliminate duplicative regulations, reduce costs, and streamline regulatory processes, and after considering public comments received.",none
"The repeal was effective on July 2, 2018.",none
"The FHWA identified three main reasons for the repeal: (1) reconsideration of the underlying legal authority; (2) the cost of the GHG measure in relation to the lack of demonstrated benefits; and (3) potential duplication of information produced by the GHG measure and information produced by other initiatives related to measuring CO2

emissions.",none
"As part of this rulemaking, FHWA evaluated each of these rationales to examine whether they remain appropriate in light of current information.",none
"First, FHWA proposed, and now finalizes, that the Agency has reconsidered its interpretation of the statute.",none
"Consistent with the reasoning set forth in the PM3 rule, FHWA believes adopting this measure under 23 U.S.C. 150(c) is appropriate in light of the Agency's authority under that section and based on the Agency's authority under Title 23, U.S.C. as a whole, as previously described in this section and detailed further in Section III.B of the NPRM.",none
"Second, FHWA has determined that the benefits of the rulemaking, although difficult to quantify, are substantial and justify finalizing this action.",none
"In its 2022 NPRM, FHWA described how the substantial benefits of this regulation justified reconsidering and rejecting the Agency's conclusion in the 2018 final rule that the benefits of a GHG measure were too speculative and outweighed by the costs to justify retaining the measure as part of the TPM program.",none
The benefits and policy rationale for this regulation are further described in Section IV of this preamble.,none
"Third, and as discussed in the 2022 NPRM, 

see87 FR 42411-42412, FHWA has determined that the information produced by the GHG measure is not duplicative in relation to information produced by other initiatives related to measuring CO2

emissions, but rather complements that data to support a whole-of-government approach to addressing GHG emissions.",none
The importance of this measure is further described in Section IV of this preamble.,none
