"","V1","V2","V3"
"122","AKA ENERGY GROUP, LLC","SABINAL ENERGY LLC","13"
"123","AKIN BEENE RESOURCES LLC","EOG RESOURCES INC","15"
"124","AKZO NOBEL CHEMICALS INC","LYONDELL CHEMICAL CO","14"
"125","AKZO NOBEL INC","ABBVIE INC","10"
"126","AL COGEN LLC","SCI LLC","9"
"127","AL COGEN PARTNER, LLC","AMGEN INC","16"
"128","AL COGEN, LLC","SCI LLC","10"
"129","AL SANDERSVILLE LLC","SCI LLC","14"
"130","AL SANDERSVILLE, LLC","SCI LLC","15"
"131","AL Sandersville, LLC","Linde LLC","13"
"132","AL TURI LANDFILL INC","T S LANDFILL, INC","9"
"133","AL TURI LANDFILL, INC","T S LANDFILL, INC","8"
"134","AL-CORN CLEAN FUEL","LONZA","15"
"135","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","EL PASO ELECTRIC CO","25"
"136","ALAMANCE COUNTY","SALT LAKE COUNTY","9"
"137","ALAMO CEMENT CO","MONARCH CEMENT CO","8"
"138","ALASKA ELECTRIC & ENERGY COOPERATIVE, INC","PARSLEY ENERGY INC","29"
"139","ALASKA VILLAGE ELECTRIC COOPERATIVE","EL PASO ELECTRIC CO","24"
"140","ALBANY GREEN ENERGY LLC","SABINAL ENERGY LLC","13"
"141","ALBEMARLE CORP","ALBEMARLE CORP","0"
"142","ALBERT EINSTEIN COLLEGE OF MEDICINE","LSB INDUSTRIES INC","29"
"143","ALCAN PRIMARY PRODUCTS CORP","ALCOA CORP","19"
"144","ALCOA CORP","ALCOA CORP","0"
"145","ALCOA INC","ARCOSA INC","3"
"146","ALCON LABORATORIES INC","ABBOTT LABORATORIES","11"
"147","ALERIS CORP","AES CORP","3"
"148","ALERIS INTERNATIONAL INC","HAYNES INTERNATIONAL INC","6"
"149","ALEXANDER & BALDWIN INC","ALEXANDER & BALDWIN INC","0"
"150","ALEXANDER & BALDWIN, INC","ALEXANDER & BALDWIN, INC","0"
"151","ALEXIN LLC","SCI LLC","7"
"152","ALGONQUIN POWER & UTILITIES CORP","ALGONQUIN POWER & UTILITIES CORP","0"
"153","ALGONQUIN POWER FUND (AMERICA) INC","BP AMERICA INC","22"
"154","ALGONQUIN POWER SANGER LLC","SABINAL ENERGY LLC","20"
"155","ALGONQUIN POWER WINDSOR LOCKS LLC","ALGONQUIN POWER & UTILITIES CORP","23"
"156","ALINDA CAPITAL PARTNERS LLC","DCP MIDSTREAM PARTNERS, LP","19"
"157","ALINDA INVESTMENTS LLC","TAK INVESTMENT LLC","8"
"158","ALJ REGIONAL HOLDING CO","UIL HOLDINGS CORP","14"
"159","ALJ Regional Holdings, Inc.","Roche Holdings, Inc.","13"
"160","ALL AMERICAN ASPHALT","ALUMINA LTD","15"
"161","ALL AMERICAN OIL & GAS INC","CARRIZO OIL & GAS INC","13"
"162","ALLEGHENY ENERGY SUPPLY CO LLC","TALEN ENERGY CORP","19"
"163","ALLEGHENY SUPPLY CO LLC","SCI LLC","18"
"164","ALLEGHENY TECHNOLOGIES INC","ALLEGHENY TECHNOLOGIES INC","0"
"165","ALLEGIANCE REFINING LLC","ALLETE INC","15"
"166","ALLEN COUNTY KANSAS","SALT LAKE COUNTY","13"
"167","ALLENS INC","ALLETE INC","4"
"168","ALLETE INC","ALLETE INC","0"
"169","ALLETE, Inc","ALLETE, Inc","0"
"170","ALLETE, Inc.","ALLETE, Inc.","0"
"171","ALLIANCE COAL LLC","MALLINCKRODT LLC","11"
"172","ALLIANCE COAL, LP","APACHE CORP","12"
"173","ALLIANCE ENERGY GROUP","ALLIANT ENERGY CORP","8"
"174","ALLIANCE ENERGY GROUP LLC","ALLIANT ENERGY CORP","12"
"175","ALLIANCE HOLDINGS GP LP","SABIC US HOLDINGS LP","13"
"176","ALLIANCE PIPELINE LP","PEMBINA PIPELINE CORP","15"
"177","ALLIANT ENERGY CORP","ALLIANT ENERGY CORP","0"
"178","ALLIANT TECHSYSTEMS INC","CASELLA WASTE SYSTEMS INC","12"
"179","ALLIED WASTE TRANSPORATION INC","ALLETE INC","20"
"180","ALLISON TRANSMISSION HOLDINGS INC","ALLISON TRANSMISSION HOLDINGS INC","0"
"181","ALLISON TRANSMISSION INC","ALLISON TRANSMISSION HOLDINGS INC","9"
"182","ALLISON TRANSMISSION, INC","ALLISON TRANSMISSION HOLDINGS INC","10"
"183","ALMATIS INC","AEMETIS INC","4"
"184","ALON USA LP","LONZA","8"
"185","ALPHA & OMEGA SEMICONDUCTOR","ALPHA & OMEGA SEMICONDUCTOR","0"
"186","ALPHA METALLURGICAL RESOURCES INC","ALPHA METALLURGICAL RESOURCES INC","0"
"187","ALPHA NATURAL RESOURCES LLC","SAGE NATURAL RESOURCES LLC","7"
"188","ALPHABET INC","ALPHABET INC","0"
"189","ALPHAGEN POWER LLC","ALPHABET INC","14"
"190","ALPHAPET INC","ALPHABET INC","2"
"191","ALPINE ENERGY, LLC","SABINAL ENERGY LLC","8"
"192","ALPONT LLC","KRATON CO","9"
"193","ALSTOM INC","QUALCOMM INC","6"
"194","ALTA MESA RESOURCES INC","AGL RESOURCES INC","8"
"195","ALTA MESA SERVICES LP","ALTAGAS LTD","16"
"196","ALTAGAS LTD","ALTAGAS LTD","0"
"197","ALTAGAS RIPON ENERGY INC","EARTHSTONE ENERGY INC","13"
"198","ALTAGAS SERVICES (US) INC","ANALOG DEVICES INC","15"
"199","ALTEN LLC","ALLETE INC","7"
"200","ALTERNA CAPITAL PARTNERS","ARES CAPITAL CORP","17"
"201","ALTIVIA CORP","AVISTA CORP","5"
"202","ALTIVIA PETROCHEMICALS LLC","SAGA PETROLEUM LLC","16"
"203","ALTIVIA Petrochemicals LLC","US Ceramics LLC","19"
"204","ALTIVIA SERVICES LLC","SCI LLC","15"
"205","ALTIVIA Services, LLC","Tervita, LLC","13"
"206","ALTO INGREDIENTS INC","ALTO INGREDIENTS INC","0"
"207","ALTON STEEL INC","ALLETE INC","9"
"208","ALTRIA GROUP INC","ALTRIA GROUP INC","0"
"209","ALUMINA LTD","ALUMINA LTD","0"
"210","ALYESKA PIPELINE SERVICE CO","PEMBINA PIPELINE CORP","20"
"211","AM/NS CALVERT","AES CORP","11"
"212","AM/NS CALVERT LLC","SCI LLC","12"
"213","AM/NS Calvert","Valero","11"
"214","AMALGAMATED BANK OF CHICAGO","AMGEN INC","20"
"215","AMALGAMATED INVESTMENTS CO","TAK INVESTMENT LLC","16"
"216","AMALGAMATED SUGAR CO","AES CORP","16"
"217","AMALGAMATED SUGAR CO OREGON COOPERATIVE CORP","MARATHON OIL CORP","33"
"218","AMALGAMATED WARBASSE HOUSES INC","AGL RESOURCES INC","22"
"219","AMALGAMATED WARBASSE HOUSES TENANTS ASSOC INC","LAMB WESTON INC","34"
"220","AMCOL International","SRI International","8"
"221","AMEREN CORP","AMEREN CORP","0"
"222","AMERICAN AIR LIQUIDE HOLDINGS INC","AMERICAN AIRLINES GROUP INC","18"
"223","AMERICAN AIR LIQUIDE HOLDINGS, INC","AMERICAN AIRLINES GROUP INC","19"
"224","AMERICAN AIRLINES GROUP","AMERICAN AIRLINES GROUP","0"
"225","AMERICAN AIRLINES GROUP INC","AMERICAN AIRLINES GROUP INC","0"
"226","AMERICAN BITUMINOUS POWER PARTNERS","AMERICAN ELECTRIC POWER","23"
"227","AMERICAN BITUMINOUS POWER PARTNERS LP","MARTIN MIDSTREAM PARTNERS LP","23"
"228","AMERICAN CAST IRON PIPE CO","AMERICAN AIRLINES GROUP","17"
"229","AMERICAN CONSOLIDATED NATURAL RESOURCES INC","CONTINENTAL RESOURCES INC","22"
"230","AMERICAN CONSOLIDATED NATURAL RESOURCES, INC","SAGE NATURAL RESOURCES, LLC","23"
"231","AMERICAN CRYSTAL SUGAR CO","AMERICAN AIRLINES GROUP","18"
"232","AMERICAN EAGLE ENERGY CORP","TALEN ENERGY CORP","13"
"233","AMERICAN ELECTRIC POWER","AMERICAN ELECTRIC POWER","0"
"234","AMERICAN ELECTRIC POWER CO INC","AMERICAN ELECTRIC POWER CO INC","0"
"235","AMERICAN ENERGY CORP","TALEN ENERGY CORP","7"
"236","AMERICAN ENERGY PARTNERS LP","MARKWEST ENERGY PARTNERS LP","12"
"237","AMERICAN ENVIRONMENTAL LANDFILL INC","GFL ENVIRONMENTAL INC","20"
"238","AMERICAN HONDA MOTOR CO INC","MERCK & CO INC","17"
"239","AMERICAN MIDSTREAM GP, LLC","ANTERO MIDSTREAM LLC","12"
"240","AMERICAN MIDSTREAM PARTNERS LP","MARTIN MIDSTREAM PARTNERS LP","6"
"241","AMERICAN MIDSTREAM PARTNERS, LP","MARTIN MIDSTREAM PARTNERS LP","7"
"242","AMERICAN MUNICIPAL POWER","AMERICAN ELECTRIC POWER","13"
"243","AMERICAN MUNICIPAL POWER INC","AMERICAN ELECTRIC POWER CO INC","16"
"244","AMERICAN NATURAL RESOURCES CO","PIONEER NATURAL RESOURCES CO","11"
"245","AMERICAN PROTEINS INC","AEMETIS INC","12"
"246","AMERICAN REFINING GROUP","AMERICAN AIRLINES GROUP","10"
"247","AMERICAN REFINING GROUP INC","AMERICAN AIRLINES GROUP INC","10"
"248","AMERICAN STANDARD BRANDS","MORGAN STANLEY","20"
"249","AMERICAN STANDARD BRANDS CO","CONAGRA BRANDS INC","19"
"250","AMERICAN SUGAR REFINING INC","COEUR MINING INC","17"
"251","AMERICAN ZINC RECYCLING LLC","BP AMERICA INC","19"
"252","AMERICAS MINING CORP","AMEREN CORP","11"
"253","AMF Hawaii Investments Holdings, LLC","Riverview Investment Holdings LLC","17"
"254","AMGEN INC","AMGEN INC","0"
"255","AMHERST COUNTY LANDFILL","T S LANDFILL, INC","18"
"256","AMP ANGELINA LLC","AMGEN INC","11"
"257","AMP II ETX GATHERING I LLC","AMGEN INC","19"
"258","AMP II ETX Gathering I LLC","UP Energy LLC","19"
"259","AMPCO-PITTSBURGH CORP","AMPCO-PITTSBURGH CORP","0"
"260","AMPLIFY ENERGY CORP","AMPLIFY ENERGY CORP","0"
"261","AMR Corporation","FMC Corporation","4"
"262","AMSTED INDUSTRIES INC","LSB INDUSTRIES INC","7"
"263","AMSTED RAIL CO INC","MERCK & CO INC","12"
"264","ANADARKO PETROLEUM CORP","ABRAXAS PETROLEUM CORP","9"
"265","ANADARKO PETROLEUM CORPORATION","ABRAXAS PETROLEUM CORP","16"
"266","ANADARKO US OFFSHORE CORP","HARSCO CORP","18"
"267","ANADARKO US OFFSHORE LLC","DS SMITH PLC","20"
"268","ANALOG DEVICES INC","ANALOG DEVICES INC","0"
"269","ANCHOR GLASS CONTAINER CORP","ALCOA CORP","17"
"270","ANCHOR HOCKING CO","ARCHROCK INC","9"
"271","ANCHORAGE MUNICIPAL LIGHT & POWER","SCOGI GP","27"
"272","ANCHORAGE MUNICIPALITY OF INC","ELANCO US INC","22"
"273","ANDEAVOR","GEVO","6"
"274","ANDERSON COLUMBIA","AES CORP","13"
"275","ANDERSON ENERGY INC","EARTHSTONE ENERGY INC","8"
"276","ANDREWS ENGINEERING INC","MGE ENERGY INC","15"
"277","ANDROSCOGGIN VALLEY REGIONAL REFUSE","SCOGI GP","29"
"278","ANDROSCOGGIN VALLY REGIONAL REFUSE DISPOSAL DISTRICT","INGREDION INC","43"
"279","ANGELINA COUNTY","SALT LAKE COUNTY","11"
"280","ANHEUSER-BUSCH COS LLC","ANHEUSER-BUSCH INBEV","12"
"281","ANHEUSER-BUSCH INBEV","ANHEUSER-BUSCH INBEV","0"
"282","ANKOR E&P HOLDINGS CORP","ITC HOLDINGS CORP","12"
"283","ANKOR ENERGY LLC","SABINAL ENERGY LLC","8"
"284","ANKOR Energy, LLC","TRP Energy LLC","7"
"285","ANNE ARUNDEL COUNTY MARYLAND (DEPT OF PUBLIC WORKS - WASTE MANAGEMENT SERVICES)","ARES MANAGEMENT CORP","65"
"286","ANR PIPELINE CO","PEMBINA PIPELINE CORP","10"
"287","ANR Pipeline CO","Rowdy Pipeline LLC","9"
"288","ANR Pipeline Company","Superior Pipeline Company","11"
"289","ANSCHUTZ EXPLORATION CORP","MATERION CORP","14"
"290","ANTERO MIDSTREAM LLC","ANTERO MIDSTREAM LLC","0"
"291","ANTERO RESOURCES CORP","ANTERO RESOURCES CORP","0"
"292","APA CORP","APA CORP","0"
"293","APACHE CORP","APACHE CORP","0"
"294","APACHE CORPORATION","APACHE CORPORATION","0"
"295","APEX ENVIRONMENTAL LLC","GFL ENVIRONMENTAL INC","11"
"296","APG POLYTECH HOLDING","POST HOLDINGS INC","15"
"297","APG Polytech Holding","JFE Holdings","16"
"298","APL SouthTex Processing, LP","The Boeing Co","22"
"299","APPLETON PAPERS INC","KOPPERS INC","10"
"300","APPLETON PROPERTY VENTURES LLC","GENERAL MOTORS LLC","24"
"301","APPROACH RESOURCES INC","APPROACH RESOURCES INC","0"
"302","APPVION HOLDING COPR","ITC HOLDINGS CORP","11"
"303","APPVION INC","PEPSICO INC","6"
"304","APPVION, INC.","PEPSICO, INC","7"
"305","APR OPERATING LLC","TALLGRASS OPERATIONS LLC","11"
"306","ARAMCO SERVICES CO","ANALOG DEVICES INC","12"
"307","ARAUCO NORTH AMERICA INC","CRH AMERICAS INC","10"
"308","ARAUCO-USA LLC","ARCOSA INC","8"
"309","ARC INTERNATIONAL NORTH AMERICA LLC","INTERNATIONAL PAPER CO","19"
"310","ARCELORMITTAL HOLDINGS LLC","ITC HOLDINGS CORP","17"
"311","ARCELORMITTAL USA","ARCOSA INC","15"
"312","ARCELORMITTAL USA INC","ARCOSA INC","11"
"313","ARCELORMITTAL USA LLC","ARCOSA INC","15"
"314","ARCH COAL INC","ARCOSA INC","5"
"315","ARCH RESOURCES INC","ARCH RESOURCES INC","0"
"316","ARCHDIOCESE OF CHICAGO","DIODES INC","16"
"317","ARCHER DANIELS MIDLAND CO","ARCHER DANIELS MIDLAND CO","0"
"318","ARCHROCK INC","ARCHROCK INC","0"
"319","ARCHROCK, INC","ARCHROCK, INC","0"
"320","ARCLIGHT CAPITAL HOLDINGS LLC","ITC HOLDINGS CORP","18"
"321","ARCLIGHT CAPITAL PARTNERS LLC","MARTIN MIDSTREAM PARTNERS LP","21"
"322","ARCLIGHT CAPITAL PARTNERS, LLC","DCP MIDSTREAM PARTNERS, LP","22"
"323","ARCLIGHT CAPITAL PARTNERS,LLC","ARES CAPITAL CORP","22"
"324","ARCLIGHT ENERG PARTNERS FUND VII LP","MARKWEST ENERGY PARTNERS LP","20"
"325","ARCLIGHT ENERGY PARTNERS FUND VI LP","MARKWEST ENERGY PARTNERS LP","18"
"326","ARCLIGHT ENERGY PARTNERS FUND VII LP","MARKWEST ENERGY PARTNERS LP","19"
"327","ARCLIGHT ENERGY PARTNERS FUND VIII LP","MARKWEST ENERGY PARTNERS LP","20"
"328","ARCO Aluminun","Alumina Ltd","12"
"329","ARCONIC CORP","ARCONIC CORP","0"
"330","ARCONIC INC","ARCHROCK INC","5"
"331","ARCOSA INC","ARCOSA INC","0"
"332","ARCTIC SLOPE REGIONAL CORP","MATERION CORP","15"
"333","ARD OPERATING LLC","TALLGRASS OPERATIONS LLC","11"
"334","ARDAGH GLASS INC","ASHLAND INC","11"
"335","ARDAGH GLASS PACKAGING INC","ASHLAND INC","19"
"336","ARDAGH GROUP","ALTRIA GROUP INC","10"
"337","ARDAGH HOLDINGS USA INC","POST HOLDINGS INC","14"
"338","ARENA ENERGY LLC","SABINAL ENERGY LLC","6"
"339","ARENA ENERGY LP","GENESIS ENERGY LP","8"
"340","ARENA OFFSHORE LP","AMEREN CORP","12"
"341","ARES CAPITAL CORP","ARES CAPITAL CORP","0"
"342","ARES MANAGEMENT CORP","ARES MANAGEMENT CORP","0"
"343","ARGO INFRASTRUCTURE PARTNERS LLC","BROOKFIELD INFRASTRUCTURE PARTNERS LP","13"
"344","ARGO INFRASTRUCTURE PARTNERS LP","BROOKFIELD INFRASTRUCTURE PARTNERS LP","10"
"345","ARGOS PUERTO RICO CORP","HARSCO CORP","13"
"346","ARGOS USA","GE","9"
"347","ARGOS USA LLC","UNIBOARD USA LLC","9"
"348","ARIZONA BOARD OF REGENTS","UC REGENTS","18"
"349","ARIZONA BOARD OF REGENTS FOR & ON BEHALF OF ARIZONA STATE UNIVERSITY","SACRAMENTO COGENERATION AUTHORITY","57"
"350","ARIZONA BOARD OF REGENTS FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY","SACRAMENTO COGENERATION AUTHORITY","59"
"351","ARIZONA CHEMICAL CO LLC","EASTMAN CHEMICAL CO","14"
"352","ARIZONA ELECTRIC COOPERATIVE CORP","AMERICAN ELECTRIC POWER","22"
"353","ARIZONA ELECTRIC POWER COOPERATIVE INC","AMERICAN ELECTRIC POWER CO INC","16"
"354","ARIZONA PUBLIC SERVICE CO","ANALOG DEVICES INC","19"
"355","ARIZONA STATE UNIVERSITY","DEVON ENERGY","20"
"356","ARKANSAS ELECTRIC COOPERATIVE CORP","S&C ELECTRIC CO","23"
"357","ARKANSAS GLASS CONTAINER CORP","ALCOA CORP","19"
"358","ARKANSAS OKLAHOMA GAS CORP","ALCOA CORP","18"
"359","ARKANSAS STEEL ASSOCIATES LLC","SCI LLC","22"
"360","ARKANSAS STEEL ASSOCIATES, LLC","SCI LLC","23"
"361","ARKEMA AMERICAS","BRASKEM AMERICA","6"
"362","ARKEMA DELAWARE INC","CREE INC","13"
"363","ARKEMA INC","ARCOSA INC","6"
"364","ARLANXEO USA HOLDINGS CORP","UIL HOLDINGS CORP","13"
"365","ARLANXEO USA LLC","ELANCO US INC","11"
"366","ARLINGTON VALLEY LLC","SABINAL ENERGY LLC","16"
"367","ARM ENERGY HOLDINGS LLC","MGE ENERGY INC","13"
"368","ARMOR ENERGY LLC","ATMOS ENERGY CORP","9"
"369","ARMSTRONG ENERGY INC","EARTHSTONE ENERGY INC","7"
"370","ARMSTRONG WORLD INDUSTRIES INC","ARMSTRONG WORLD INDUSTRIES INC","0"
"371","ARP RANGELY PRODUCTION LLC","AVANGRID INC","20"
"372","ARROWHEAD PIPELINE, LP","PEMBINA PIPELINE CORP","17"
"373","ARROYO ENERGY LP","PEABODY ENERGY CORP","11"
"374","ARROYO ENERGY, LP","PEABODY ENERGY CORP","12"
"375","ARSENAL ENERGY HOLDINGS LLC","PARSLEY ENERGY INC","15"
"376","ARSENAL RESOURCES LLC","SAGE NATURAL RESOURCES LLC","9"
"377","ARTISTIC CARTON CO","KRATON CO","11"
"378","ARUBA INVESTMENTS INC","TAK INVESTMENT LLC","11"
"379","ARUBA PETROLEUM INC","LAREDO PETROLEUM INC","7"
"380","AS AMERICA INC","BP AMERICA INC","4"
"381","ASAHI GLASS CO","HESS CORP","11"
"382","ASCEND PERFORMANCE MATERIALS HOLDINGS INC","DELEK US HOLDINGS INC","26"
"383","ASCEND PERFORMANCE MATERIALS LLC","EAGLE MATERIALS INC","21"
"384","ASCENT RESOURCES LLC","SAGE NATURAL RESOURCES LLC","10"
"385","ASCENT RESOURCES OPERATING LLC","ARCH RESOURCES INC","16"
"386","ASH GROVE CEMENT CO","MONARCH CEMENT CO","12"
"387","ASHLAND GLOBAL HOLDINGS INC","ASHLAND GLOBAL HOLDINGS INC","0"
"388","ASHLAND INC","ASHLAND INC","0"
"389","ASHLEY ENERGY LLC","PARSLEY ENERGY INC","7"
"390","ASP GREDE ACQUISITIONCO LLC","SCI LLC","20"
"391","ASPEN MIDSTREAM LLC","ANTERO MIDSTREAM LLC","7"
"392","ASPEN SCRUBGRASS PARTICIPANT LLC (OLYMPUS POWER LLC)","TALLGRASS OPERATIONS LLC","42"
"393","ASRC","","4"
"394","ASRCEX","CEMEX","5"
"395","ASSOCIATED ELECTRIC COOPERATIVE INC","S&C ELECTRIC CO","22"
"396","ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC","ENERGY TRANSFER LP","30"
"397","ASTORIA PROJECT PARTNERS LLC","ENTERPRISE PRODUCTS PARTNERS LP","19"
"398","ASTRA ENERGY HOLDINGS, INC","POST HOLDINGS INC","13"
"399","ASTRA Energy Holdings, Inc.","Roche Holdings, Inc.","13"
"400","AT&T INC","AT&T INC","0"
"401","AT&T, Inc.","AT&T, Inc.","0"
"402","ATC MANAGEMENT INC","AMGEN INC","9"
"403","ATC Management, Inc.","Waste Management Inc","10"
