"PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,326912
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,172959
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,421375
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,47330
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,2256843
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,417325
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,939991
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,407843
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,937730
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,573345
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,403262
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,721750
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,100731
"AIRGAS INC (100%)",2022,2214
"ALBEMARLE CORP (100%)",2022,109043
"ALCON LABORATORIES INC (100%)",2022,17599
"ALPONT LLC (100%)",2022,64214
"ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%)",2022,546544
"ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%)",2022,3514790
"B BRAUN MEDICAL US (100%)",2022,51331
"BASF CORP (100%)",2022,67342
"BASF CORP (100%)",2022,804839
"BASF CORP (100%)",2022,38601
"BASF CORP (100%)",2022,73454
"BASF CORP (100%)",2022,121093
"BASF CORP (100%)",2022,34759
"BASF CORP (100%)",2022,627566
"BASF CORP (100%)",2022,1817099
"BAYER US HOLDING LP (100%)",2022,48713
"BIOGEN INC (100%)",2022,29755
"BIRLA CARBON USA INC (100%)",2022,120391
"PHILLIPS 66 (100%)",2022,500457
"BP PRODUCTS NORTH AMERICA INC (100%)",2022,798950
"BRISTOL-MYERS SQUIBB CO (100%)",2022,54360
"BAYER US HOLDING LP (100%)",2022,76353
"BAYER US HOLDING LP (100%)",2022,85713
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,1948840
"BAYPORT POLYMERS LLC (100%)",2022,852986
"ORION ENGINEERED CARBONS LLC (100%)",2022,171482
"TOKAI CARBON CB LTD (100%)",2022,258390
"ORION ENGINEERED CARBONS LLC (100%)",2022,204782
"TOKAI CARBON CB LTD (100%)",2022,256423
"EMD ACQUISITION LLC (100%)",2022,27719
"CABOT CORP (100%)",2022,370192
"CABOT CORP (100%)",2022,320954
"KURARAY HOLDINGS USA INC (100%)",2022,46162
"CALUMET SPECIALTY PRODUCTS PARTNERS LP (100%)",2022,24757
"CALUMET SPECIALTY PRODUCTS PARTNERS LP (100%)",2022,16860
"CALUMET SPECIALTY PRODUCTS PARTNERS LP (100%)",2022,54139
"CARESTREAM HEALTH INC (100%)",2022,32617
"CF INDUSTRIES HOLDINGS INC (100%)",2022,9155496
"CF INDUSTRIES HOLDINGS INC (100%)",2022,2454971
"CF INDUSTRIES HOLDINGS INC (100%)",2022,3180457
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,1959865
"THE CHEMOURS CO (100%)",2022,37836
"THE CHEMOURS CO (100%)",2022,47608
"THE CHEMOURS CO (100%)",2022,717279
"THE CHEMOURS CO (100%)",2022,74419
"THE CHEMOURS CO (100%)",2022,2206669
"THE CHEMOURS CO (100%)",2022,1318708
"LSB INDUSTRIES INC (100%)",2022,492322
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2022,1108879
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2022,872420
"CHEVRON CORP (100%)",2022,1073406
"CHEVRON CORP (100%)",2022,485784
"CHS INC (100%)",2022,343121
"CHS INC (100%)",2022,353227
"CELANESE CORP (100%)",2022,782466
"CVR ENERGY INC (100%)",2022,1430669
"BIRLA CARBON USA INC (100%)",2022,283024
"CSRC USA CORP (100%)",2022,137769
"CSRC USA CORP (100%)",2022,258658
"CSRC USA CORP (100%)",2022,165258
"COVESTRO LCC (100%)",2022,30177
"COVORO MINING SOLUTIONS LLC (100%)",2022,29913
"CSL BEHRING LLC (100%)",2022,49974
"CYTEC INDUSTRIES INC (100%)",2022,40223
"CALUMET SPECIALTY PRODUCTS PARTNERS LP (100%)",2022,89616
"THE CHEMOURS CO (100%)",2022,67548
"THE CHEMOURS CO (100%)",2022,103677
"THE CHEMOURS CO (100%)",2022,342140
"CHEMTRADE LOGISTICS INC (100%)",2022,29320
"CHEVRON CORP (100%)",2022,143885
"CHEVRON CORP (93.1%); CHEVRON CORP (93.1%)",2022,833795
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2022,2087106
"DYNO NOBEL HOLDINGS USA INC (100%)",2022,509610
"HF SINCLAIR CORP (100%)",2022,139868
"CLARIANT CORP (100%)",2022,26160
"CLEAN HARBORS INC (100%)",2022,35233
"CVR ENERGY INC (100%)",2022,7640
"SUN CHEMICAL (100%)",2022,31147
"CSTN HOLDINGS INC (100%)",2022,360951
"CORTEVA INC (100%)",2022,61296
"CORTEVA INC (100%)",2022,29323
"SABIC INNOVATIVE PLASTICS US LLC (50%); TOTAL HOLDINGS USA INC (50%)",2022,353532
"CRODA INTERNATIONAL PUBLIC LC (100%)",2022,35893
"DAIKIN HOLDINGS AMERICA INC (100%)",2022,771757
"DOW INC (100%)",2022,166296
"DOW INC (100%)",2022,4242896
"DSM HOLDING CO USA INC (100%)",2022,42442
"DUPONT DE NEMOURS INC (100%)",2022,101268
"DYNO NOBEL HOLDINGS USA INC (100%)",2022,883763
"Deltech Monomers Bidco Holdings, LLC (100%)",2022,96841
"DARLING INGREDIENTS INC (50%); VALERO ENERGY CORP (50%)",2022,40572
"VALERO ENERGY CORP (100%)",2022,13640
"GLENCOE CAPITAL (100%)",2022,49634
"DOW INC (100%)",2022,39573
"INTERNATIONAL FLAVORS & FRAGRANCES INC (100%)",2022,27701
"DYNO NOBEL HOLDINGS USA INC (100%)",2022,196785
"DYNO NOBEL HOLDINGS USA INC (100%)",2022,909765
"BRISTOL-MYERS SQUIBB CO (100%)",2022,37309
"ECOVYST INC (100%)",2022,35667
"LSB INDUSTRIES INC (100%)",2022,911787
"LSB INDUSTRIES INC (100%)",2022,115955
"ELEMENTIS GLOBAL LLC (100%)",2022,149926
"LANXESS CORP (100%)",2022,65309
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,1217825
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,26932
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,502001
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,318258
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,1153518
"ERACHEM COMILOG INC (100%)",2022,46337
"ERCO (US) HOLDINGS INC (100%)",2022,24696
"ERGON INC (100%)",2022,67990
"ERGON INC (100%)",2022,14343
"EVONIK CORP (100%)",2022,75001
"EVONIK CORP (100%)",2022,133606
"EVONIK CORP (100%)",2022,24105
"EVONIK CORP (100%)",2022,51092
"EVONIK CORP (100%)",2022,66211
"EVONIK CORP (100%)",2022,39100
"EVONIK CORP (100%)",2022,34254
"EXXON MOBIL CORP (100%)",2022,39764
"EXXON MOBIL CORP (100%)",2022,51531
"WESTLAKE CHEMICAL CORP (100%)",2022,515179
"CVR ENERGY INC (100%)",2022,682739
"Eastman Chemical Co (100%)",2022,899562
"Eastman Chemical Co (100%)",2022,3499616
"EASTMAN CHEMICAL CO (100%)",2022,40581
"ECOVYST INC (100%)",2022,42988
"ELANCO US INC (100%)",2022,68293
"EMERY OLEOCHEMICALS LLC (100%)",2022,176325
"EXXON MOBIL CORP (100%)",2022,103851
"EXXON MOBIL CORP (100%)",2022,61044
"FORMOSA PLASTICS CORP USA (100%)",2022,316247
"FORMOSA PLASTICS CORP USA (100%)",2022,4795213
"FRESENIUS MEDICAL CARE HOLDINGS INC (100%)",2022,67978
"INEOS USA LLC (100%)",2022,105246
"KOCH INDUSTRIES INC (100%)",2022,1694268
"FUJIFILM HOLDINGS AMERICA CORP (100%)",2022,11897
"FUTUREFUEL CORP (100%)",2022,154382
"ROCHE HOLDINGS INC (100%)",2022,29548
"THE GOODYEAR TIRE & RUBBER CO (100%)",2022,42222
"WR GRACE & CO (100%)",2022,114531
"WR GRACE & CO (100%)",2022,149863
"INEOS USA LLC (100%)",2022,285940
"GREEN VALLEY CHEMICAL CORP (100%)",2022,57520
"GLAXOSMITHKLINE SL HOLDINGS INC (100%)",2022,8524
"BASIN ELECTRIC POWER COOPERATIVE (100%)",2022,3339679
"EXXON MOBIL CORP (50%); SABIC US HOLDINGS LP (50%)",2022,1594065
"HF SINCLAIR CORP (100%)",2022,564740
"HF SINCLAIR CORP (100%)",2022,293222
"HONEYWELL INTERNATIONAL INC (100%)",2022,48372
"HONEYWELL INTERNATIONAL INC (100%)",2022,3830
"HONEYWELL INTERNATIONAL INC (100%)",2022,37725
"HONEYWELL INTERNATIONAL INC (100%)",2022,355396
"HUNT CRUDE OIL SUPPLY CO LLC (100%)",2022,202271
"HUNTSMAN PETROCHEMICAL LLC (100%)",2022,50674
"ICL SPECIALTY PRODUCTS NORTH AMERICA INC (100%)",2022,53905
"ICL Industrial Products (100%)",2022,23997
"INTERNATIONAL FLAVORS & FRAGRANCES INC (100%)",2022,37289
"INEOS USA LLC (100%)",2022,55534
"INEOS USA LLC (100%)",2022,2497678
"INEOS USA LLC (100%)",2022,119166
"INEOS AMERICAS LLC (100%)",2022,74801
"INEOS PIGMENTS USA INC (100%)",2022,134698
"INEOS PIGMENTS USA INC (100%)",2022,314488
"INEOS US CHEMICALS CO (100%)",2022,125904
"INEOS US CHEMICALS CO (100%)",2022,107287
"INGEVITY CORP (100%)",2022,22332
"INGEVITY CORP (100%)",2022,57263
"INGEVITY CORP (100%)",2022,90811
"KOCH INDUSTRIES INC (100%)",2022,1728731
"KOCH INDUSTRIES INC (100%)",2022,625565
"KOCH INDUSTRIES INC (100%)",2022,157929
"ASHLAND GLOBAL HOLDINGS INC (100%)",2022,72276
"ASHLAND GLOBAL HOLDINGS INC (100%)",2022,109362
"ASHLAND GLOBAL HOLDINGS INC (100%)",2022,37575
"INDORAMA VENTURES USA HOLDINGS LP (100%)",2022,420444
"INDORAMA VENTURES USA HOLDINGS LP (100%)",2022,43005
"INDORAMA VENTURES USA HOLDINGS LP (100%)",2022,1412595
"INDORAMA VENTURES USA HOLDINGS LP (100%)",2022,308299
"INGEVITY CORP (100%)",2022,33963
"INGEVITY CORP (100%)",2022,33510
"IOWA FERTLIZER CO LLC (100%)",2022,1593663
"ITAFOS CONDA HOLDINGS (100%)",2022,134497
"JR SIMPLOT CO (100%)",2022,17418
"JR SIMPLOT CO (100%)",2022,115300
"JX NIPPON OIL & ENERGY USA INC (100%)",2022,44158
"KOCH INDUSTRIES INC (100%)",2022,2288148
"KOCH INDUSTRIES INC (100%)",2022,631946
"KOCH INDUSTRIES INC (100%)",2022,589710
"KRATON CORP (100%)",2022,19926
"Kensing LLC (100%)",2022,35773
"KOCH INDUSTRIES INC (100%)",2022,895124
"KOCH INDUSTRIES INC (100%)",2022,647654
"KOPPERS INC (100%)",2022,46460
"KRATON CORP (100%)",2022,57990
"LOTTE CHEMICAL USA CORP (68.83%); WESTLAKE CHEMICAL CORP (31.17%)",2022,538261
"TUMBLEWEED MIDSTREAM LLC (100%)",2022,34231
"LANXESS CORP (100%)",2022,165468
"LANXESS CORP (100%)",2022,48996
"LANXESS CORP (100%)",2022,30119
"LANXESS CORP (100%)",2022,21317
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,82858
"ELI LILLY & CO (100%)",2022,40252
"LINDE INC (100%)",2022,163039
"LINDE INC (100%)",2022,1428336
"LINDE INC (100%)",2022,417904
"LINDE INC (100%)",2022,73323
"LINDE INC (100%)",2022,257508
"DELEK US HOLDINGS INC (100%)",2022,26589
"CONTRAN CORP (50%); VENATOR MATERIALS LLC (50%)",2022,265892
"BERKSHIRE HATHAWAY INC (100%)",2022,23259
"BERKSHIRE HATHAWAY INC (100%)",2022,32495
"BERKSHIRE HATHAWAY INC (100%)",2022,105141
"LYONDELLBASELL INDUSTRIES INC (100%)",2022,271299
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,594161
"PDV AMERICA INC (100%)",2022,51639
"LINDE INC (100%)",2022,28801
"LINDE INC (100%)",2022,689220
"LINDE INC (100%)",2022,108988
"LINDE INC (100%)",2022,1076469
"LINDE INC (100%)",2022,687540
"LINDE INC (100%)",2022,429410
"LINDE INC (100%)",2022,32322
"LINDE INC (100%)",2022,447773
"LINDE GAS NORTH AMERICA LLC (100%)",2022,1407461
"LINDE INC (100%)",2022,1103036
"LINDE INC (100%)",2022,155549
"LINDE INC (100%)",2022,27281
"LINDE INC (100%)",2022,183008
"LINDE INC (100%)",2022,1082517
"MARATHON PETROLEUM CORP (100%)",2022,919409
"LYONDELLBASELL INDUSTRIES INC (50%); SASOL USA CORP (50%)",2022,1116645
"MALLINCKRODT ENTERPRISES HOLDINGS INC (100%)",2022,26787
"MARTIN MIDSTREAM PARTNERS LP (100%)",2022,19715
"MEGLOBAL AMERICAS INC (100%)",2022,197291
"MERCK & CO INC (100%)",2022,83731
"MERCK SHARP & DOHME LLC (100%)",2022,41649
"MESSER NORTH AMERICA INC (100%)",2022,778
"MEXICHEM FLUOR INC (100%)",2022,54724
"MONUMENT CHEMICAL LLC (100%)",2022,69413
"STONE CANYON INDUSTRIES HOLDINGS LLC (100%)",2022,79024
"MOM HOLDING CO (100%)",2022,35804
"MARATHON PETROLEUM CORP (100%)",2022,17893
"MARATHON PETROLEUM CORP (100%)",2022,70035
"MARATHON PETROLEUM CORP (100%)",2022,247754
"MATHESON TRI-GAS INC (100%)",2022,43406
"MATHESON TRI-GAS INC (100%)",2022,395706
"MATHESON TRI-GAS INC (100%)",2022,83682
"MATHESON TRI-GAS INC (100%)",2022,107835
"MATHESON TRI-GAS INC (100%)",2022,114418
"MATHESON TRI-GAS INC (100%)",2022,79338
"MERCK & CO INC (100%)",2022,249419
"METHANEX USA LLC (100%)",2022,995769
"MONUMENT CHEMICAL LLC (100%); MONUMENT CHEMICAL LLC (100%)",2022,57337
"THE MOSAIC CO (100%)",2022,187450
"THE MOSAIC CO (100%)",2022,29694
"THE MOSAIC CO (100%)",2022,5384
"THE MOSAIC CO (100%)",2022,249697
"THE MOSAIC CO (100%)",2022,109083
"THE MOSAIC CO (100%)",2022,130021
"ARAMCO SERVICES CO (100%)",2022,804182
"HOLLYFRONTIER CORP (100%)",2022,161677
"NE NITRO GENEVA LLC (100%)",2022,60713
"Norit Americas Inc (100%)",2022,92110
"Norit Americas Inc (100%)",2022,8140
"COMPASS MINERALS INTERNATIONAL INC (100%)",2022,53138
"NOURYON SURFACE CHEMISTRY LLC (100%)",2022,43836
"NC HOLDINGS USA INC (88.46%); SABIC INNOVATIVE PLASTICS US LLC (11.54%)",2022,723902
"NOVARTIS CORP (100%)",2022,11446
"FIREWATER LLC (100%)",2022,677351
"JM HUBER CORP (100%)",2022,47836
"SHELL PETROLEUM INC (100%)",2022,73007
"ABBVIE INC (100%)",2022,43197
"NOURYON CHEMICALS LLC (100%)",2022,22093
"NOURYON CHEMICALS LLC (100%)",2022,36097
"OCCIDENTAL PETROLEUM CORP (100%)",2022,83158
"OCCIDENTAL PETROLEUM CORP (100%)",2022,155646
"OCCIDENTAL PETROLEUM CORP (100%)",2022,48029
"OCCIDENTAL PETROLEUM CORP (100%)",2022,1878741
"OCI PARTNERS LP (100%)",2022,464534
"OQ CORP (100%)",2022,378063
"OCCIDENTAL PETROLEUM CORP (100%)",2022,91476
"OCCIDENTAL PETROLEUM CORP (100%)",2022,1272874
"OCCIDENTAL PETROLEUM CORP (100%)",2022,115812
"OLIN CORP (100%)",2022,1838620
"OLIN CORP (100%)",2022,24349
"OLIN CORP (100%)",2022,45513
"ORION ENGINEERED CARBONS LLC (100%)",2022,188932
"ORION ENGINEERED CARBONS LLC (100%)",2022,194008
"BAYER US HOLDING LP (100%)",2022,516556
"CABOT CORP (100%)",2022,135854
"PB LEINER USA CORP (100%)",2022,25725
"PCS NITROGEN FERTILIZER LP (100%)",2022,1543456
"POTASH HOLDING CO INC (100%)",2022,1250738
"POTASH HOLDING CO INC (100%)",2022,1541265
"NUTRIEN US CORP A INC (100%)",2022,295365
"ARCTIC SLOPE REGIONAL CORP (100%)",2022,19796
"PFIZER INC (100%)",2022,91563
"PHILLIPS 66 (100%)",2022,274323
"PMC GROUP INC (100%)",2022,96043
"PPG INDUSTRIES INC (100%)",2022,88398
"PQ CORP (100%)",2022,21946
"LSB INDUSTRIES INC (100%)",2022,359728
"ENTERPRISE PRODUCTS PARTNERS LP (100%)",2022,60483
"THERMO FISHER SCIENTIFIC INC (100%)",2022,28940
"PBF ENERGY INC (100%)",2022,10561
"Perstorp Polyols (100%)",2022,37449
"PFIZER INC (100%)",2022,46277
"VIATRIS INC (100%)",2022,28221
"PHILLIPS 66 (100%)",2022,97897
"PHILLIPS 66 (100%)",2022,307815
"PHILLIPS 66 (100%)",2022,372889
"PHILLIPS 66 (100%)",2022,190996
"DRT AMERICA INC (100%)",2022,42500
"TATE & LYLE INGREDIENTS AMERICAS LLC (100%)",2022,26833
"THE PROCTER & GAMBLE CO (81.3%); DTE ENERGY CO (18.7%)",2022,95032
"THE PROCTER & GAMBLE CO (100%)",2022,11705
"PROMAN USA INC (100%)",2022,63678
"PAR PACIFIC HOLDINGS INC (100%)",2022,88377
"CHEVRON CORP (100%)",2022,26984
"DOW INC (100%)",2022,315346
"HUNTSMAN CORP (50%); LANXESS CORP (50%)",2022,61477
"ROUSSELOT INC (100%)",2022,42238
"DOW INC (100%)",2022,808762
"PHILLIPS 66 (100%)",2022,124299
"SAN JOAQUIN REFINING CO INC (100%)",2022,28593
"SANOFI PASTEUR INC (100%)",2022,38433
"SAVANNAH RIVER NUCLEAR SOLUTIONS LLC (100%)",2022,24685
"SC JOHNSON & SON INC (100%)",2022,26488
"SHELL PETROLEUM INC (100%)",2022,1063570
"CK TECHNOLOGIES INC (100%)",2022,1065326
"SK CAPITAL PARTNERS LP (100%)",2022,72790
"SI GROUP USA HOLDINGS (USHA) CORP (100%)",2022,59191
"JR SIMPLOT CO (100%)",2022,447012
"SNF HOLDING CO (100%)",2022,66502
"EASTMAN CHEMICAL CO (100%)",2022,3657
"SOLVAY HOLDING INC (100%)",2022,62123
"STEPAN CO (100%)",2022,41912
"SUNCOR ENERGY (USA) INC (100%)",2022,209776
"SYNGENTA CORP (100%)",2022,60103
"SASOL USA CORP (100%)",2022,46331
"SASOL USA CORP (100%)",2022,884710
"SEABOARD ENERGY LLC (100%)",2022,29712
"SHELL PETROLEUM INC (100%)",2022,43367
"SHELL PETROLEUM INC (100%)",2022,605037
"Shell USA (100%)",2022,833248
"SOLVAY HOLDING INC (100%)",2022,32588
"SOLVAY HOLDING INC (100%)",2022,38331
"DOW INC (100%)",2022,2701674
"MARATHON PETROLEUM CORP (100%)",2022,69604
"SYMRISE INC (100%)",2022,24191
"SYMRISE INC (100%)",2022,11683
"EASTMAN CHEMICAL CO (100%)",2022,54786
"EASTMAN CHEMICAL CO (100%)",2022,38029
"CF INDUSTRIES HOLDINGS INC (100%)",2022,1303743
"MARATHON PETROLEUM CORP (100%)",2022,86724
"CELANESE CORP (100%)",2022,437941
"SK CAPITAL PARTNERS LP (100%)",2022,730906
"TRADEMARK NITROGEN CORP (100%)",2022,13079
"TRECORA RESOURCES (100%)",2022,84890
"TRONOX INC (100%)",2022,363216
"THE MOSAIC CO (100%)",2022,597986
"TATE & LYLE SUCRALOSE LLC (100%)",2022,97946
"TEKNOR APEX (100%)",2022,27939
"DOW INC (100%)",2022,1853655
"TRAMMO INC (100%)",2022,58944
"US GOVERNMENT (%)",2022,10493
"DOW INC (100%)",2022,664976
"DOW INC (100%)",2022,85227
"HONEYWELL UOP (100%)",2022,26041
"HONEYWELL INTERNATIONAL INC (100%)",2022,55464
"DAVIS MINING & MANUFACTURING INC (100%)",2022,140753
"RED APPLE GROUP INC (100%)",2022,46242
"VALERO ENERGY CORP (100%)",2022,411299
"VALERO ENERGY CORP (100%)",2022,327325
"VALERO ENERGY CORP (100%)",2022,889712
"VALERO ENERGY CORP (100%)",2022,116762
"VALERO ENERGY CORP (100%)",2022,180353
"VANTAGE SPECIALTY CHEMICALS INC (100%)",2022,46387
"CF INDUSTRIES HOLDINGS INC (100%)",2022,3698602
"VALERO ENERGY CORP (100%)",2022,639031
"VEOLIA ENVIRONMENTAL SERVICES NORTH AMERICA CORP (100%)",2022,34994
"VERSUM MATERIALS INC (100%)",2022,618388
"WR GRACE & CO (100%)",2022,21472
"WR GRACE & CO (100%)",2022,25353
"WASHINGTON MILLS GROUP INC (100%)",2022,103565
"WESTLAKE CHEMICAL CORP (100%)",2022,1024162
"WESTLAKE CHEMICAL CORP (100%)",2022,161184
"WESTLAKE CHEMICAL CORP (100%)",2022,230513
"WESTLAKE CHEMICAL CORP (100%)",2022,517429
"PHILLIPS 66 (100%)",2022,1095615
"G HOLDINGS LLC (100%)",2022,6505
"WESTLAKE CORP (100%)",2022,73204
"WESTLAKE CHEMICAL CORP (100%)",2022,1067704
"WESTLAKE CORP (100%)",2022,1487058
"PHOSPHATE HOLDINGS INC (100%)",2022,70318
"3M CO (100%)",2021,45774
"3M CO (100%)",2021,687526
"3M CO (100%)",2021,15362
"ABBVIE INC (100%)",2021,61958
"ADA CARBON SOLUTIONS LLC (100%)",2021,273325
"ARCHER DANIELS MIDLAND CO (100%)",2021,65370
"ADVANSIX INC (100%)",2021,1206918
"GEVO INC (100%)",2021,2200
"AGRIUM US INC (100%)",2021,730767
"AGRIUM US INC (100%)",2021,186638
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,532254
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,355697
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,198256
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,3369
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,452437
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,332633
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,815292
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,803093
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,34010
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,71085
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,664568
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,125559
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,802345
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,47414
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,93464
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,711593
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,688241
"ALBEMARLE CORP (100%)",2021,45837
"ALBEMARLE CORP (100%)",2021,77505
"ALTIVIA SERVICES LLC (100%)",2021,101392
"ALTIVIA CORP (100%)",2021,26970
"ARKEMA DELAWARE INC (50%); NIPPON SHOKUBAI AMERICA INDUSTRIES INC (50%)",2021,80097
"CHEVRON CORP (50%); TRINSEO PLC (50%)",2021,733592
"AMGEN INC (100%)",2021,41580
"ARUBA INVESTMENTS INC (100%)",2021,118714
"FREEPORT-MCMORAN INC (50%); SOUTHWEST ENERGY LLC (50%)",2021,360042
"ARKEMA DELAWARE INC (100%)",2021,67258
"ARKEMA DELAWARE INC (100%)",2021,88084
"ARKEMA DELAWARE INC (100%)",2021,354508
"SK CAPITAL PARTNERS II LP (100%)",2021,593859
"TOKAI CARBON CB LTD (100%)",2021,291960
"ADVANSIX INC (100%)",2021,164946
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,68887
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2021,437916
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,270671
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,869627
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,289538
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,153773
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,312547
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,2629539
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,473078
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,364781
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,934629
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,711367
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,463317
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,738863
"AIR PRODUCTS & CHEMICALS INC (100%)",2021,92081
"AIRGAS INC (100%)",2021,3789
"ALBEMARLE CORP (100%)",2021,107422
"ALCON LABORATORIES INC (100%)",2021,31551
"ALPONT LLC (100%)",2021,56853
