"","x"
"143","ALBERT EINSTEIN COLLEGE OF MEDICINE"
"144","ALCAN PRIMARY PRODUCTS CORP"
"145","ALCOA CORP"
"146","ALCOA INC"
"147","ALCON LABORATORIES INC"
"148","ALERIS CORP"
"149","ALERIS INTERNATIONAL INC"
"150","ALEXANDER & BALDWIN INC"
"151","ALEXANDER & BALDWIN, INC"
"152","ALEXIN LLC"
"153","ALGONQUIN POWER & UTILITIES CORP"
"154","ALGONQUIN POWER FUND (AMERICA) INC"
"155","ALGONQUIN POWER SANGER LLC"
"156","ALGONQUIN POWER WINDSOR LOCKS LLC"
"157","ALINDA CAPITAL PARTNERS LLC"
"158","ALINDA INVESTMENTS LLC"
"159","ALJ REGIONAL HOLDING CO"
"160","ALJ Regional Holdings, Inc."
"161","ALL AMERICAN ASPHALT"
"162","ALL AMERICAN OIL & GAS INC"
"163","ALLEGHENY ENERGY SUPPLY CO LLC"
"164","ALLEGHENY SUPPLY CO LLC"
"165","ALLEGHENY TECHNOLOGIES INC"
"166","ALLEGIANCE REFINING LLC"
"167","ALLEN COUNTY KANSAS"
"168","ALLENS INC"
"169","ALLETE INC"
"170","ALLETE, Inc"
"171","ALLETE, Inc."
"172","ALLIANCE COAL LLC"
"173","ALLIANCE COAL, LP"
"174","ALLIANCE ENERGY GROUP"
"175","ALLIANCE ENERGY GROUP LLC"
"176","ALLIANCE HOLDINGS GP LP"
"177","ALLIANCE PIPELINE LP"
"178","ALLIANT ENERGY CORP"
"179","ALLIANT TECHSYSTEMS INC"
"180","ALLIED WASTE TRANSPORATION INC"
"181","ALLISON TRANSMISSION HOLDINGS INC"
"182","ALLISON TRANSMISSION INC"
"183","ALLISON TRANSMISSION, INC"
"184","ALMATIS INC"
"185","ALON USA LP"
"186","ALPHA & OMEGA SEMICONDUCTOR"
"187","ALPHA METALLURGICAL RESOURCES INC"
"188","ALPHA NATURAL RESOURCES LLC"
"189","ALPHABET INC"
"190","ALPHAGEN POWER LLC"
"191","ALPHAPET INC"
"192","ALPINE ENERGY, LLC"
"193","ALPONT LLC"
"194","ALSTOM INC"
"195","ALTA MESA RESOURCES INC"
"196","ALTA MESA SERVICES LP"
"197","ALTAGAS LTD"
"198","ALTAGAS RIPON ENERGY INC"
"199","ALTAGAS SERVICES (US) INC"
"200","ALTEN LLC"
"201","ALTERNA CAPITAL PARTNERS"
"202","ALTIVIA CORP"
"203","ALTIVIA PETROCHEMICALS LLC"
"204","ALTIVIA Petrochemicals LLC"
"205","ALTIVIA SERVICES LLC"
"206","ALTIVIA Services, LLC"
"207","ALTO INGREDIENTS INC"
"208","ALTON STEEL INC"
"209","ALTRIA GROUP INC"
"210","ALUMINA LTD"
"211","ALYESKA PIPELINE SERVICE CO"
"212","AM/NS CALVERT"
"213","AM/NS CALVERT LLC"
"214","AM/NS Calvert"
"215","AMALGAMATED BANK OF CHICAGO"
"216","AMALGAMATED INVESTMENTS CO"
"217","AMALGAMATED SUGAR CO"
"218","AMALGAMATED SUGAR CO OREGON COOPERATIVE CORP"
"219","AMALGAMATED WARBASSE HOUSES INC"
"220","AMALGAMATED WARBASSE HOUSES TENANTS ASSOC INC"
"221","AMCOL International"
"222","AMEREN CORP"
"223","AMERICAN AIR LIQUIDE HOLDINGS INC"
"224","AMERICAN AIR LIQUIDE HOLDINGS, INC"
"225","AMERICAN AIRLINES GROUP"
"226","AMERICAN AIRLINES GROUP INC"
"227","AMERICAN BITUMINOUS POWER PARTNERS"
"228","AMERICAN BITUMINOUS POWER PARTNERS LP"
"229","AMERICAN CAST IRON PIPE CO"
"230","AMERICAN CONSOLIDATED NATURAL RESOURCES INC"
"231","AMERICAN CONSOLIDATED NATURAL RESOURCES, INC"
"232","AMERICAN CRYSTAL SUGAR CO"
"233","AMERICAN EAGLE ENERGY CORP"
"234","AMERICAN ELECTRIC POWER"
"235","AMERICAN ELECTRIC POWER CO INC"
"236","AMERICAN ENERGY CORP"
"237","AMERICAN ENERGY PARTNERS LP"
"238","AMERICAN ENVIRONMENTAL LANDFILL INC"
"239","AMERICAN HONDA MOTOR CO INC"
"240","AMERICAN MIDSTREAM GP, LLC"
"241","AMERICAN MIDSTREAM PARTNERS LP"
"242","AMERICAN MIDSTREAM PARTNERS, LP"
"243","AMERICAN MUNICIPAL POWER"
"244","AMERICAN MUNICIPAL POWER INC"
"245","AMERICAN NATURAL RESOURCES CO"
"246","AMERICAN PROTEINS INC"
"247","AMERICAN REFINING GROUP"
"248","AMERICAN REFINING GROUP INC"
"249","AMERICAN STANDARD BRANDS"
"250","AMERICAN STANDARD BRANDS CO"
"251","AMERICAN SUGAR REFINING INC"
"252","AMERICAN ZINC RECYCLING LLC"
"253","AMERICAS MINING CORP"
"254","AMF Hawaii Investments Holdings, LLC"
"255","AMGEN INC"
"256","AMHERST COUNTY LANDFILL"
"257","AMP ANGELINA LLC"
"258","AMP II ETX GATHERING I LLC"
"259","AMP II ETX Gathering I LLC"
"260","AMPCO-PITTSBURGH CORP"
"261","AMPLIFY ENERGY CORP"
"262","AMR Corporation"
"263","AMSTED INDUSTRIES INC"
"264","AMSTED RAIL CO INC"
"265","ANADARKO PETROLEUM CORP"
"266","ANADARKO PETROLEUM CORPORATION"
"267","ANADARKO US OFFSHORE CORP"
"268","ANADARKO US OFFSHORE LLC"
"269","ANALOG DEVICES INC"
"270","ANCHOR GLASS CONTAINER CORP"
"271","ANCHOR HOCKING CO"
"272","ANCHORAGE MUNICIPAL LIGHT & POWER"
"273","ANCHORAGE MUNICIPALITY OF INC"
"274","ANDEAVOR"
"275","ANDERSON COLUMBIA"
"276","ANDERSON ENERGY INC"
"277","ANDREWS ENGINEERING INC"
"278","ANDROSCOGGIN VALLEY REGIONAL REFUSE"
"279","ANDROSCOGGIN VALLY REGIONAL REFUSE DISPOSAL DISTRICT"
"280","ANGELINA COUNTY"
"281","ANHEUSER-BUSCH COS LLC"
"282","ANHEUSER-BUSCH INBEV"
"283","ANKOR E&P HOLDINGS CORP"
"284","ANKOR ENERGY LLC"
"285","ANKOR Energy, LLC"
"286","ANNE ARUNDEL COUNTY MARYLAND (DEPT OF PUBLIC WORKS - WASTE MANAGEMENT SERVICES)"
"287","ANR PIPELINE CO"
"288","ANR Pipeline CO"
"289","ANR Pipeline Company"
"290","ANSCHUTZ EXPLORATION CORP"
"291","ANTERO MIDSTREAM LLC"
"292","ANTERO RESOURCES CORP"
"293","APA CORP"
"294","APACHE CORP"
"295","APACHE CORPORATION"
"296","APEX ENVIRONMENTAL LLC"
"297","APG POLYTECH HOLDING"
"298","APG Polytech Holding"
"299","APL SouthTex Processing, LP"
"300","APPLETON PAPERS INC"
"301","APPLETON PROPERTY VENTURES LLC"
"302","APPROACH RESOURCES INC"
"303","APPVION HOLDING COPR"
"304","APPVION INC"
"305","APPVION, INC."
"306","APR OPERATING LLC"
"307","ARAMCO SERVICES CO"
"308","ARAUCO NORTH AMERICA INC"
"309","ARAUCO-USA LLC"
"310","ARC INTERNATIONAL NORTH AMERICA LLC"
"311","ARCELORMITTAL HOLDINGS LLC"
"312","ARCELORMITTAL USA"
"313","ARCELORMITTAL USA INC"
"314","ARCELORMITTAL USA LLC"
"315","ARCH COAL INC"
"316","ARCH RESOURCES INC"
"317","ARCHDIOCESE OF CHICAGO"
"318","ARCHER DANIELS MIDLAND CO"
"319","ARCHROCK INC"
"320","ARCHROCK, INC"
"321","ARCLIGHT CAPITAL HOLDINGS LLC"
"322","ARCLIGHT CAPITAL PARTNERS LLC"
"323","ARCLIGHT CAPITAL PARTNERS, LLC"
"324","ARCLIGHT CAPITAL PARTNERS,LLC"
"325","ARCLIGHT ENERG PARTNERS FUND VII LP"
"326","ARCLIGHT ENERGY PARTNERS FUND VI LP"
"327","ARCLIGHT ENERGY PARTNERS FUND VII LP"
"328","ARCLIGHT ENERGY PARTNERS FUND VIII LP"
"329","ARCO Aluminun"
"330","ARCONIC CORP"
"331","ARCONIC INC"
"332","ARCOSA INC"
"333","ARCTIC SLOPE REGIONAL CORP"
"334","ARD OPERATING LLC"
"335","ARDAGH GLASS INC"
"336","ARDAGH GLASS PACKAGING INC"
"337","ARDAGH GROUP"
"338","ARDAGH HOLDINGS USA INC"
"339","ARENA ENERGY LLC"
"340","ARENA ENERGY LP"
"341","ARENA OFFSHORE LP"
"342","ARES CAPITAL CORP"
"343","ARES MANAGEMENT CORP"
"344","ARGO INFRASTRUCTURE PARTNERS LLC"
"345","ARGO INFRASTRUCTURE PARTNERS LP"
"346","ARGOS PUERTO RICO CORP"
"347","ARGOS USA"
"348","ARGOS USA LLC"
"349","ARIZONA BOARD OF REGENTS"
"350","ARIZONA BOARD OF REGENTS FOR & ON BEHALF OF ARIZONA STATE UNIVERSITY"
"351","ARIZONA BOARD OF REGENTS FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY"
"352","ARIZONA CHEMICAL CO LLC"
"353","ARIZONA ELECTRIC COOPERATIVE CORP"
"354","ARIZONA ELECTRIC POWER COOPERATIVE INC"
"355","ARIZONA PUBLIC SERVICE CO"
"356","ARIZONA STATE UNIVERSITY"
"357","ARKANSAS ELECTRIC COOPERATIVE CORP"
"358","ARKANSAS GLASS CONTAINER CORP"
"359","ARKANSAS OKLAHOMA GAS CORP"
"360","ARKANSAS STEEL ASSOCIATES LLC"
"361","ARKANSAS STEEL ASSOCIATES, LLC"
"362","ARKEMA AMERICAS"
"363","ARKEMA DELAWARE INC"
"364","ARKEMA INC"
"365","ARLANXEO USA HOLDINGS CORP"
"366","ARLANXEO USA LLC"
"367","ARLINGTON VALLEY LLC"
"368","ARM ENERGY HOLDINGS LLC"
"369","ARMOR ENERGY LLC"
"370","ARMSTRONG ENERGY INC"
"371","ARMSTRONG WORLD INDUSTRIES INC"
"372","ARP RANGELY PRODUCTION LLC"
"373","ARROWHEAD PIPELINE, LP"
"374","ARROYO ENERGY LP"
"375","ARROYO ENERGY, LP"
"376","ARSENAL ENERGY HOLDINGS LLC"
"377","ARSENAL RESOURCES LLC"
"378","ARTISTIC CARTON CO"
"379","ARUBA INVESTMENTS INC"
"380","ARUBA PETROLEUM INC"
"381","AS AMERICA INC"
"382","ASAHI GLASS CO"
"383","ASCEND PERFORMANCE MATERIALS HOLDINGS INC"
"384","ASCEND PERFORMANCE MATERIALS LLC"
"385","ASCENT RESOURCES LLC"
"386","ASCENT RESOURCES OPERATING LLC"
"387","ASH GROVE CEMENT CO"
"388","ASHLAND GLOBAL HOLDINGS INC"
"389","ASHLAND INC"
"390","ASHLEY ENERGY LLC"
"391","ASP GREDE ACQUISITIONCO LLC"
"392","ASPEN MIDSTREAM LLC"
"393","ASPEN SCRUBGRASS PARTICIPANT LLC (OLYMPUS POWER LLC)"
"394","ASRC"
"395","ASRCEX"
"396","ASSOCIATED ELECTRIC COOPERATIVE INC"
"397","ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC"
"398","ASTORIA PROJECT PARTNERS LLC"
"399","ASTRA ENERGY HOLDINGS, INC"
"400","ASTRA Energy Holdings, Inc."
"401","AT&T INC"
"402","AT&T, Inc."
"403","ATC MANAGEMENT INC"
"404","ATC Management, Inc."
"405","ATHENS-CLARKE COUNTY UNIFIED GOVERNMENT"
"406","ATI LADISH LLC"
"407","ATI Ladish LLC"
"408","ATLANTI C POWER CORP"
"409","ATLANTIC COUNTY UTILITIES AUTHORITY"
"410","ATLANTIC POWER"
"411","ATLANTIC POWER CORP"
"412","ATLANTIC POWER CORPORATION"
"413","ATLANTIC POWER LP"
"414","ATLAS ENERGY GROUP LLC"
"415","ATLAS HOLDINGS LLC"
"416","ATLAS PIPELINE PARTNERS, LP"
"417","ATLAS RESOURCE PARTNERS LP"
"418","ATLAS SAND"
"419","ATLAS SAND CO LLC"
"420","ATMEL CORP"
"421","ATMOS ENERGY CORP"
"422","ATP OIL & GAS CORP"
"423","ATP Oil & Gas Corporation"
"424","ATTIS BIOFUELS LLC"
"425","AUCILLA AREA SOLID WASTE ADMINISTRATION"
"426","AUGUSTA-RICHMOND GEORGIA"
"427","AUGUSTUS ENERGY RESOURCES LLC"
"428","AURIA SOLUTIONS USA INC"
"429","AURIGA POLYMERS INC"
"430","AURORA COOPERATIVE ETHANOL"
"431","AURORA ENERGY LLC"
"432","AURORA ENERGY, LLC"
"433","AURUBIS BUFFALO INC"
"434","AUSTIN ENERGY"
"435","AUSTIN ENERGY CORP"
"436","AUSTIN POWDER HOLDINGS CO"
"437","AUSTIN WHITE LIME CO"
"438","AUSTRALIS TMS INC"
"439","AUX SABLE"
"440","AUX SABLE LIQUID PRODUCTS"
"441","AUX SABLE LIQUID PRODUCTS LP"
"442","AUX SABLE MIDSTREAM LLC"
"443","AVAGO TECHNOLOGIES US INC"
"444","AVANGRID INC"
"445","AVENAL REGIONAL LANDFILL"
"446","AVENTINE RENEWABLE ENERGY INC"
"447","AVENUE CAPITAL GROUP"
"448","AVISTA CORP"
"449","AW POWER HOLDINGS LLC"
"450","AW Power Holdings, LLC"
"451","AXEON SPECIALTY PRODUCTS"
"452","AXIALL CORP"
"453","AXIALL CORPORATION"
"454","AXIP PRODUCER SERVICES LLC"
"455","AXIUM BNY COGENERATION PARTNERS LLC"
"456","AZURE MIDSTREAM ENERGY LLC"
"457","AbbVie Inc."
"458","Abbott Hospitals"
"459","Abbott Laboratories"
"460","Abbott Labortories"
"461","Abel, Gregory E"
"462","Abengoa Bioenergy Corpopration"
"463","Abengoa Bioenergy Maple, LLC"
"464","Abengoa Bioenergy US Holding, Inc"
"465","Abengoa Bioenergy US Holding, Inc."
"466","AbiBow U. S., Inc."
"467","AbiBow US Inc"
"468","Abraxas Petroleum Corp"
"469","Absolute Energy, L.L.C."
"470","Acadia Parish Police Jury"
"471","Acadian Gas Pipeline System"
"472","Access Midstream Partners LP"
"473","Access Midstream Partners, L.P"
"474","Access Midstream Partners, L.P."
"475","Accuride Corp"
"476","Accuride Corporation"
"477","Accuride Corportion"
"478","Acero Junction Inc"
"479","Acme Brick Company"
"480","Ada Cogen Holdings, LP"
"481","Ada County"
"482","Ada County Solid Waste Management"
"483","Adams-Columbia Electric Cooperative"
"484","Adkins Energy LLC"
"485","AdvanSix Inc"
"486","Advance Energy Partners, LLC"
"487","Advanced BioEnergy"
"488","Advanced BioEnergy, LLC"
"489","Advanced Disposal"
"490","Advanced Disposal Services"
"491","Advanced Graphite Materials LLC"
"492","Aera Energy LLC"
"493","Ag Processing Inc"
"494","Agave Energy Co"
"495","Agave Energy Company"
"496","Agave Energy Holdings"
"497","Agra Marke Quality Grains Inc."
"498","Agra Resources Coop"
"499","Agra Resources Coop dba POET Biorefining Glenville"
"500","Agra Resources LLC"
"501","Agri-Mark"
"502","Agrifos Fertilizer L.L.C."
"503","Agrium U.S. Inc"
"504","Agrium U.S. Inc."
"505","Agrium U.S., Inc"
"506","Agrium US Inc"
"507","Agropur Inc"
"508","Ahlstrom Filtration LLC"
"509","Ahlstrom-Munksj North America Specialty Solutions LLC"
"510","Ahlstrom-Munksjo North America Specialty Solutions LLC"
"511","Air Liquide America LP"
"512","Air Liquide Large Industries U.S. LP"
"513","Air Liquide Large Industries US LP"
"514","Air Liquide USA Inc"
"515","Air Products & Chemicals, Inc."
"516","Air Products and Chemicals Inc."
"517","Air Products and Chemicals, Inc"
"518","Air Products and Chemicals, Inc."
"519","Aircraft Services Corporation (GE entity)"
"520","Aircraft Services Corporation - General Electric"
"521","Ajinomoto Animal Nutrition North America INC"
"522","Ajinomoto Health & Nutrition North America INC"
"523","Ajinomoto Heartland, INC"
"524","Ajinomoto U.S.A., Inc."
"525","Aka Energy Group, LLC"
"526","Akron Energy Systems, LLC"
"527","Akzo Nobel Chemicals, Inc."
"528","Akzo Nobel Pulp & Performance Chemicals Inc"
"529","Al Turi Landfill, Inc."
"530","Al-Corn Clean Fuel"
"531","Alabama Municipal Electric Authority"
"532","Aladdin Mills Inc"
"533","Alamance County"
"534","Alaska Electric and Energy Cooperative, Inc."
"535","Alaska Village Electric Cooperative"
"536","Albemarle Corporation"
"537","Albert Einstein College of Medicine"
"538","Albiorix Inc."
"539","Alcan Rolled Products - Ravenswood, LLC"
"540","Alcoa Corp"
"541","Alcoa INC"
"542","Alcoa Inc"
"543","Alcoa Inc."
"544","Alcoa, Inc"
"545","Alcon Laboratories, Inc."
"546","Aleris International Inc."
"547","Alexander & Baldwin, Inc."
"548","Alexin, LLC"
"549","Algonquin Gas Transmission, LLC"
"550","Algonquin Power Fund (America) Inc."
"551","Algonquin Power Sanger, LLC"
"552","Algonquin Power Windsor Locks, L.L.C."
"553","Algonquin Power Windsor Locks, LLC"
"554","Alinda Investments LLC"
"555","Alkegen (formerly Unifrax LLC)"
"556","All American Asphalt"
"557","All American Asphaly"
"558","All American Oil and Gas, Inc."
"559","Allegany Generating Station, LLC"
"560","Allegheny Energy"
"561","Allegheny Energy Supply"
"562","Allegheny Technologies Incorporated"
"563","Allen County Kansas"
"564","Allen County, Kansas"
"565","Allens, Inc."
"566","Allete"
"567","Alliance Coal, LLC"
"568","Alliance Energy Group"
"569","Alliance NYGT, LLC"
"570","Alliance Petroleum CORP"
"571","Alliant Energy"
"572","Alliant Energy Coporation"
"573","Alliant Energy Corporation"
"574","Alliant Techsystems Inc"
"575","Alliant Techsystems Operations LLC"
"576","Allied Waste Transporation Inc."
"577","Allison Transmission INC"
"578","Almatis"
"579","Almatis Burnside Inc."
"580","Alon Energy USA"
"581","Alon USA"
"582","Alon USA Energy, Inc"
"583","Alon USA Energy, Inc."
"584","AlonUSA Energy, Inc."
"585","Alpha Metallurgical Resources"
"586","Alpha Metallurgical Resources, LLC"
"587","Alpha Natural Resources"
"588","Alpha Natural Resources Inc."
"589","Alpha Natural Resources, Inc"
"590","Alpha Natural Resources, Inc."
"591","Alpha Natural Resoureces, Inc."
"592","Alpha and Omega Semiconductor"
"593","AlphaGen Power LLC"
"594","Alphapet Inc."
"595","Alpont LLC"
"596","Alstom Grid Inc"
"597","AltEn LLC"
"598","Alta Mesa Services, LP"
"599","AltaGas Ltd."
"600","AltaGas Ripon Energy Inc"
"601","AltaGas Services (US) Inc"
"602","AltaGas Services US Inc"
"603","Altair Disposal Services, LLC"
"604","Alto Ingredients, Inc"
"605","Alton Steel Inc."
"606","Altria Group, Inc."
"607","Alumina Ltd"
"608","Alyeska Pipeline Service Company"
"609","Amalgamated Bank of Chicago"
"610","Amalgamated Sugar Co"
"611","Amalgamated Sugar Co Oregon Cooperative CORP"
"612","Amalgamated Warbasse Houses, Incorporated"
"613","Ameredev II LLC"
"614","Ameren"
"615","Ameren Corp"
"616","Ameren Energy Generating Co"
"617","Ameren Energy Generating Company"
"618","Ameresco Chicopee LFGTE"
"619","American Air Liquide Holdings, Inc."
"620","American Airlines Group"
"621","American Bituminous Power Partners"
"622","American Cast Iron Pipe Company"
"623","American Colloid Company"
"624","American Crystal Sugar"
"625","American Crystal Sugar Company"
"626","American Eagle Energy"
"627","American Electric Power"
"628","American Electric Power Corp."
"629","American Energy Corporation"
"630","American Energy Partners LP"
"631","American Environmental Landfill"
"632","American Fuji Seal, Inc."
"633","American Honda Motor Co."
"634","American Honda Motor Company"
"635","American Midstream GP, LLC"
"636","American Midstream Partners, LP"
"637","American Municipal Power, Inc."
"638","American Proteins Inc."
"639","American Refining Group"
"640","American Securities LLC"
"641","American Standard Brands"
"642","American Sugar Refining Inc"
"643","American Sugar Refining Inc."
"644","American Sugar Refining, Inc."
"645","American Zinc Recycling LLC"
"646","Americas Mining Corporation"
"647","Amgen Inc"
"648","Amgen Inc."
"649","Amherst County Landfill"
"650","Ampco - Pittsburgh Securities V Corporation"
"651","Amplify Energy Corp"
"652","Amsted Industries, Inc"
"653","Amsted Rail Company, Inc"
"654","Amsted Rail Company, Inc."
"655","Anadarko Petroleum Corp"
"656","Anadarko Petroleum Corporation"
"657","Anadarko US Offshore CORP LLC"
"658","Anadarko US Offshore Corporation"
"659","Anadarko US Offshore LLC"
"660","Analog Devices, Inc."
"661","Anchor Glass Container Corporation"
"662","Anchor Hocking CO"
"663","Anchorage Municipal Light & Power"
"664","Andeavor"
"665","Andeavor (FMA Tesoro Corp)"
"666","Andeavor Refining"
"667","Anderson Columbia"
"668","Anderson Energy, Inc."
"669","Androscoggin Valley Regional Refuse District"
"670","Androscoggin Vally Regional Refuse Disposal District"
"671","Androscogging Vally Regional Disposal District"
"672","Angelina Co. Waste Management Center"
"673","Angelina County"
"674","Anheuser Busch Inc"
"675","Anheuser-Busch"
"676","Anheuser-Busch Brewing Properties, LLC"
"677","Anheuser-Busch Companies, LLC"
"678","Anheuser-Busch InBev"
"679","Anheuser-Busch Inbev"
"680","Anheuser-Busch, InBev"
"681","Anne Arundel County, Maryland (Dept. of Public Works - Waste Management Services"
"682","Anne Arundel County, Maryland (Dept. of Public Works-Waste Management Services)"
"683","Antelope Electric Generating Cooperative"
"684","Antero Midstream LLC"
"685","Antero Resources Appalachian Corp"
"686","Antero Resources CORPORATION"
"687","Antero Resources Corp"
"688","Antero Resources Corporation"
"689","Antero Resources Piceance Corp"
"690","Apache Corporation"
"691","Apex Energy LLC"
"692","Apex Environmental LLC"
"693","Apollo Infra Equity US Fund LP"
"694","Appleton Coated LLC"
"695","Appleton Papers Inc"
"696","Appleton Papers Inc."
"697","Appleton Property Ventures, LLC"
"698","Approach Resources, INC"
"699","Appvion Holding CORP"
"700","Appvion Holdings copr"
"701","Appvion Operations INC"
"702","Appvion, Inc."
"703","Arabian American Development Company"
"704","Aracoma Coal CO LLC"
"705","Arapahoe County"
"706","Arauco North America INC"
"707","Arbutus Management Holdings, LLC"
"708","ArcLight Energy Partners Fund VII LP"
"709","Arcelor Mittal"
"710","ArcelorMittal Coal Group USA, LLC."
"711","ArcelorMittal Holdings LLC"
"712","ArcelorMittal North America Holdings LLC"
"713","ArcelorMittal Tubular Products USA LLC"
"714","ArcelorMittal USA LLC"
"715","ArcelorMittal USA LLC."
"716","Arch Acquisition Holdings, Inc."
"717","Arch Coal INCORPORATED"
"718","Arch Coal Inc"
"719","Arch Coal Inc."
"720","Arch Coal, Inc."
"721","Archdiocese of Chicago"
"722","Archer Daniels Midland"
"723","Archer Daniels Midland Co."
"724","Archer Daniels Midland Company"
"725","Arclight Energy Partners Fund LP"
"726","Arconic Corp"
"727","Arconic Inc"
"728","Arcosa INC"
"729","Arcosa, Inc"
"730","Arctic Slope Regional Corporation"
"731","Arctic Slope Regional Corporations"
"732","Ardagh Glass Containers Inc."
"733","Ardagh Glass Inc."
"734","Ardagh Glass Packaging Inc"
"735","Argo Infrastructure Partners LLC"
"736","Argo Infrastructure Partners LP"
